Player,Season - Club played for,Competition name,Value currency (million),Market value,Current club (20/21 season),Player nationality,Player age,Position,games_appearances,mins_played,goals,goal_assist,Average of Attempts per 90 mins weighted by mins_played per _Season - Club - Competition,total_scoring_att,Average of Attempts on target weighted by mins_played per _Season - Club - Competition,Average of Conversion rate weighted by total_scoring_att per _Season - Club - Competition,Big chances missed,Average of Minute per goal weighted by goals per _Season - Club - Competition,Average of Minute per assist weighted by goals per _Season - Club - Competition,Average of Minute per goal or assist weighted by goals per _Season - Club - Competition,Dribbles per 90 minutes weighted by mins_played per _Season - Club - Competition,Offsides per 90 mins weighted by mins_played per _Season - Club - Competition,Was fouled per 90 mins weighted by mins_played per _Season - Club - Competition,att_pen_goal,Penalties missed,Average of Penalty conversion rate weighted by mins_played per _Season - Club - Competition
Arthur,2018/2019 - Barcelona,UEFA Champions League,€,48.8,Juventus FC,Brazil,"24,51",CM,9,566,,,,0,,,,,,,0.6360424028268551,,3.1802120141342756,,,
Aymeric Laporte,2016/2017 - Athletic Club,UEFA Europa League,€,67.5,Manchester City FC,France,"26,72",CB,6,540,,,0.6666666666666667,4,"25,0%",,,,,,,,0.6666666666666667,,,
Aymeric Laporte,2017/2018 - Athletic Club,Spanish La Liga,€,67.5,Manchester City FC,France,"26,72",CB,19,1710,,1,0.42105263157894735,8,"25,0%",,1,,1710,1710,0.21052631578947367,0.10526315789473684,0.9473684210526315,,,
Aymeric Laporte,2017/2018 - Athletic Club,UEFA Europa League,€,67.5,Manchester City FC,France,"26,72",CB,6,540,,,0.16666666666666669,1,"100,0%",,,,,,,,1,,,
Aymeric Laporte,2017/2018 - Manchester City,English Premier League,€,67.5,Manchester City FC,France,"26,72",CB,9,807,,,0.3345724907063197,3,,,,,,,0.3345724907063197,,0.44609665427509293,,,
Aymeric Laporte,2017/2018 - Manchester City,UEFA Champions League,€,67.5,Manchester City FC,France,"26,72",CB,3,270,,,0.6666666666666667,2,,,,,,,0.33333333333333337,,,,,
Ben Chilwell,2016/2017 - Leicester City,UEFA Champions League,€,52,Chelsea FC,England,"24,15",LB,2,135,,,2.666666666666667,4,,,,,,,0.6666666666666667,0.6666666666666667,0.6666666666666667,,,
Ben Chilwell,2017/2018 - Leicester City,English Premier League,€,52,Chelsea FC,England,"24,15",LB,24,1852,,2,0.2915766738660907,6,"16,7%",,,,926,926,1.5064794816414688,0.19438444924406048,1.1177105831533478,,,
Ben Chilwell,2018/2019 - Leicester City,English Premier League,€,52,Chelsea FC,England,"24,15",LB,36,3240,,4,0.6111111111111112,22,"45,5%",,1,,810,810,1.3888888888888888,0.05555555555555555,1.2222222222222223,,,
Benjamin Pavard,2016/2017 - Lille,French Ligue 1,€,65.1,FC Bayern München,France,"24,88",RB,0,,,,,0,,,,,,,,,,,,
Benjamin Pavard,2018/2019 - VfB Stuttgart,German Bundesliga,€,65.1,FC Bayern München,France,"24,88",RB,29,2606,,,0.41442824251726784,12,"33,3%",,,,,,0.2417498081350729,,0.4834996162701458,,,
Bukayo Saka,2018/2019 - Arsenal,English Premier League,€,52.4,Arsenal FC,England,"19,45",LW,1,7,,,,0,,,,,,,,,,,,
Bukayo Saka,2018/2019 - Arsenal,UEFA Europa League,€,52.4,Arsenal FC,England,"19,45",LW,2,112,,,4.017857142857143,5,"80,0%",,1,,,,7.232142857142857,0.8035714285714285,4.821428571428571,,,
Callum Hudson-Odoi,2017/2018 - Chelsea,English Premier League,€,47.4,Chelsea FC,England,"20,27",LW,2,27,,,6.666666666666665,2,"50,0%",,,,,,16.666666666666664,,,,,
Callum Hudson-Odoi,2017/2018 - Chelsea,UEFA Champions League,€,47.4,Chelsea FC,England,"20,27",LW,0,,,,,0,,,,,,,,,,,,
Callum Hudson-Odoi,2018/2019 - Chelsea,English Premier League,€,47.4,Chelsea FC,England,"20,27",LW,10,391,,1,1.381074168797954,6,"50,0%",,1,,391,391,2.762148337595908,0.690537084398977,1.381074168797954,,,
Calvin Stengs,2017/2018 - AZ,Dutch Eredivisie,€,26,AZ Alkmaar,Netherlands,"22,16",RW,1,8,,,,0,,,,,,,11.25,,,,,
Calvin Stengs,2018/2019 - Jong AZ,Dutch Eerste Divisie,€,26,AZ Alkmaar,Netherlands,"22,16",RW,2,141,,,0.6382978723404256,1,"100,0%",,,,,,3.191489361702128,,1.2765957446808511,,,
Christian Pulisic,2017/2018 - Borussia Dortmund,UEFA Champions League,€,66,Chelsea FC,United States of America,"22,41",LW,5,374,,,1.9251336898395721,8,"12,5%",,1,,,,5.053475935828877,0.24064171122994651,1.4438502673796794,,,
Christian Pulisic,2017/2018 - Borussia Dortmund,UEFA Europa League,€,66,Chelsea FC,United States of America,"22,41",LW,3,173,,1,,0,,,1,,173,173,5.202312138728324,1.5606936416184969,1.0404624277456647,,,
Christopher Nkunku,2016/2017 - Paris Saint-Germain,UEFA Champions League,€,41.2,RB Leipzig,France,"23,25",AM,1,20,,,,0,,,,,,,,,4.5,,,
Christopher Nkunku,2018/2019 - Paris Saint-Germain,UEFA Champions League,€,41.2,RB Leipzig,France,"23,25",AM,0,,,,,0,,,,,,,,,,,,
Clément Lenglet,2016/2017 - Nancy,French Ligue 1,€,62.5,FC Barcelona,France,"25,66",CB,18,1620,,,0.3333333333333334,6,"16,7%",,,,,,0.1111111111111111,,1.3333333333333337,,,
Clément Lenglet,2016/2017 - Sevilla,Spanish La Liga,€,62.5,FC Barcelona,France,"25,66",CB,17,1357,,,0.06632277081798084,1,"100,0%",,,,,,0.19896831245394253,0.13264554163596168,0.5305821665438467,,,
Clément Lenglet,2016/2017 - Sevilla,UEFA Champions League,€,62.5,FC Barcelona,France,"25,66",CB,1,55,,,,0,,,,,,,1.6363636363636365,,,,,
Clément Lenglet,2018/2019 - Barcelona,UEFA Champions League,€,62.5,FC Barcelona,France,"25,66",CB,12,999,,,0.7207207207207207,8,"37,5%",,1,,,,0.36036036036036034,,0.9009009009009009,,,
David Neres,2016/2017 - Ajax,UEFA Europa League,€,31,AFC Ajax,Brazil,"23,95",RW,4,59,,,1.5254237288135593,1,,,,,,,1.5254237288135593,,6.101694915254237,,,
Dayot Upamecano,2016/2017 - FC Red Bull Salzburg,UEFA Europa League,€,65.3,RB Leipzig,France,"22,30",CB,4,360,,,0.25,1,,,,,,,1.25,,0.25,,,
Dayot Upamecano,2016/2017 - RB Leipzig,German Bundesliga,€,65.3,RB Leipzig,France,"22,30",CB,12,666,,,0.13513513513513514,1,,,,,,,0.2702702702702703,,0.40540540540540543,,,
Dayot Upamecano,2017/2018 - RB Leipzig,UEFA Champions League,€,65.3,RB Leipzig,France,"22,30",CB,5,450,,,0.4,2,,,,,,,,,0.4,,,
Dayot Upamecano,2017/2018 - RB Leipzig,UEFA Europa League,€,65.3,RB Leipzig,France,"22,30",CB,6,516,,,0.5232558139534884,3,"66,7%",,,,,,0.6976744186046512,,0.5232558139534884,,,
Dayot Upamecano,2018/2019 - RB Leipzig,German Bundesliga,€,65.3,RB Leipzig,France,"22,30",CB,15,1292,,,0.6965944272445821,10,"10,0%",,2,,,,0.5572755417956656,,0.2786377708978328,,,
Dayot Upamecano,2018/2019 - RB Leipzig,UEFA Europa League,€,65.3,RB Leipzig,France,"22,30",CB,4,360,,,1,4,,,,,,,,0.5,0.5,,,
Dayot Upamecano,2019/2020 - RB Leipzig,German Bundesliga,€,65.3,RB Leipzig,France,"22,30",CB,28,2359,,1,0.49597286986011024,13,"30,8%",,3,,2359,2359,1.1064010173802459,0.03815175922000848,0.49597286986011024,,,
Declan Rice,2016/2017 - West Ham United,English Premier League,€,65,West Ham United FC,England,"22,09",DM,1,1,,,,0,,,,,,,,,,,,
Declan Rice,2017/2018 - West Ham United,English Premier League,€,65,West Ham United FC,England,"22,09",DM,26,1423,,,0.3162333099086437,5,,,,,,,0.12649332396345747,,0.12649332396345747,,,
Dejan Kulusevski,2017/2018 - Atalanta,Italian Serie A,€,57,Juventus FC,Sweden,"20,81",RW,0,,,,,0,,,,,,,,,,,,
Dejan Kulusevski,2018/2019 - Atalanta,Italian Serie A,€,57,Juventus FC,Sweden,"20,81",RW,3,103,,,1.7475728155339805,2,"50,0%",,,,,,1.7475728155339805,,0.8737864077669902,,,
Dominic Calvert-Lewin,2017/2018 - Everton,UEFA Europa League,€,60.1,Everton FC,England,"23,91",FW,5,229,,,1.965065502183406,5,"40,0%",,1,,,,0.3930131004366812,0.7860262008733624,1.965065502183406,,,
Dominic Solanke,2016/2017 - Chelsea,English Premier League,€,11.2,AFC Bournemouth,England,"23,42",FW,0,,,,,0,,,,,,,,,,,,
Dominic Solanke,2017/2018 - Liverpool,UEFA Champions League,€,11.2,AFC Bournemouth,England,"23,42",FW,3,36,,,2.5,1,,,,,,,,,,,,
Dominic Solanke,2018/2019 - Bournemouth,English Premier League,€,11.2,AFC Bournemouth,England,"23,42",FW,10,340,,1,2.9117647058823533,11,"27,3%",,1,,340,340,2.6470588235294117,0.2647058823529412,2.3823529411764706,,,
