Player,Season - Club played for,Competition name,Value currency (million),Market value,Current club (20/21 season),Player nationality,Player age,Position,games_appearances,mins_played,goals,goal_assist,Average of Attempts per 90 mins weighted by mins_played per _Season - Club - Competition,total_scoring_att,Average of Attempts on target weighted by mins_played per _Season - Club - Competition,Average of Conversion rate weighted by total_scoring_att per _Season - Club - Competition,Big chances missed,Average of Minute per goal weighted by goals per _Season - Club - Competition,Average of Minute per assist weighted by goals per _Season - Club - Competition,Average of Minute per goal or assist weighted by goals per _Season - Club - Competition,Dribbles per 90 minutes weighted by mins_played per _Season - Club - Competition,Offsides per 90 mins weighted by mins_played per _Season - Club - Competition,Was fouled per 90 mins weighted by mins_played per _Season - Club - Competition,att_pen_goal,Penalties missed,Average of Penalty conversion rate weighted by mins_played per _Season - Club - Competition
Lionel Messi,2016/2017 - Barcelona,Spanish La Liga,€,74.5,FC Barcelona,Argentina,"33,64",RW,34,2832,37,9,5.688559322033898,179,"43,0%","20,7%",11,77,315,62,4.004237288135593,0.09533898305084745,2.510593220338983,6,1,"85,7%"
Ciro Immobile,2019/2020 - Lazio,Italian Serie A,€,51.6,SS Lazio,Italy,"30,99",FW,37,3175,36,9,4.025196850393701,142,"50,0%","25,4%",20,88,353,71,0.6519685039370079,0.5952755905511811,1.0771653543307087,14,1,"93,3%"
Lionel Messi,2018/2019 - Barcelona,Spanish La Liga,€,74.5,FC Barcelona,Argentina,"33,64",RW,34,2710,36,13,5.678966789667897,171,"50,9%","21,1%",13,75,208,55,4.450184501845019,0.5645756457564576,2.1918819188191883,4,1,"80,0%"
Lionel Messi,2017/2018 - Barcelona,Spanish La Liga,€,74.5,FC Barcelona,Argentina,"33,64",RW,36,2996,34,12,5.917890520694259,197,"48,7%","17,3%",18,88,250,65,5.557409879839787,0.39052069425901204,2.403204272363151,2,2,"50,0%"
Robert Lewandowski,2019/2020 - FC Bayern München,German Bundesliga,€,73.8,FC Bayern München,Poland,"32,48",FW,31,2762,34,4,4.496741491672701,138,"50,0%","24,6%",25,81,691,73,1.889934829833454,0.55394641564084,1.4011585807385953,5,,"100,0%"
Kylian Mbappé,2018/2019 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,29,2342,33,7,4.8035866780529455,125,"56,8%","26,4%",27,71,335,59,2.497865072587532,1.1528608027327072,1.6908625106746369,1,1,"50,0%"
Mohamed Salah,2017/2018 - Liverpool,English Premier League,€,115,Liverpool FC,Egypt,"28,67",RW,36,2921,32,10,4.436836699760356,144,"46,5%","22,2%",23,91,292,70,2.434097911674084,0.5237932214994865,0.8935296131461826,1,1,"50,0%"
Cristiano Ronaldo,2019/2020 - Juventus,Italian Serie A,€,63.9,Juventus FC,Portugal,"36,03",LW,33,2919,31,5,6.413155190133609,208,"38,5%","14,9%",16,94,584,81,1.634121274409044,0.9558067831449125,1.788283658787256,12,1,"92,3%"
Pierre-Emerick Aubameyang,2016/2017 - Borussia Dortmund,German Bundesliga,€,39.5,Arsenal FC,Gabon,"31,66",FW,32,2781,31,2,3.7540453074433655,116,"56,0%","26,7%",25,90,1391,84,0.6472491909385113,0.9708737864077671,0.6796116504854369,2,2,"50,0%"
Harry Kane,2017/2018 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,37,3083,30,2,5.371391501783977,184,"41,3%","16,3%",18,103,1542,96,1.3720402205643853,1.2260784949724293,1.167693804735647,2,1,"66,7%"
Robert Lewandowski,2016/2017 - FC Bayern München,German Bundesliga,€,73.8,FC Bayern München,Poland,"32,48",FW,33,2777,30,5,4.634497659344616,143,"39,2%","21,0%",27,93,555,79,1.0694994598487575,0.8750450126035292,1.8149081742888005,5,,"100,0%"
Ciro Immobile,2017/2018 - Lazio,Italian Serie A,€,51.6,SS Lazio,Italy,"30,99",FW,33,2696,29,9,3.672106824925816,110,"49,1%","26,4%",11,93,300,71,0.8345697329376854,1.435459940652819,1.201780415430267,7,1,"87,5%"
Harry Kane,2016/2017 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,30,2531,29,7,3.9114974318451203,110,"52,7%","26,4%",11,87,362,70,1.351244567364678,0.6045041485578823,1.6001580403002766,5,1,"83,3%"
Mauro Icardi,2017/2018 - Internazionale,Italian Serie A,€,41.5,Paris Saint-Germain FC,Argentina,"27,99",FW,34,2968,29,1,3.06266846361186,101,"52,5%","28,7%",16,102,2968,99,0.3032345013477089,0.8490566037735847,0.7277628032345014,6,1,"85,7%"
Robert Lewandowski,2017/2018 - FC Bayern München,German Bundesliga,€,73.8,FC Bayern München,Poland,"32,48",FW,30,2169,29,2,5.269709543568465,127,"44,1%","22,8%",21,75,1085,70,0.7883817427385892,1.037344398340249,1.5352697095435683,6,1,"85,7%"
Dusan Tadic,2018/2019 - Ajax,Dutch Eredivisie,€,21.7,AFC Ajax,Serbia,"32,24",LW,34,2909,28,13,2.3513234788587143,76,"63,2%","36,8%",7,104,224,71,1.4850464077002405,0.4640770024063252,1.515984874527329,11,1,"91,7%"
Timo Werner,2019/2020 - RB Leipzig,German Bundesliga,€,88.2,Chelsea FC,Germany,"24,94",FW,34,2807,28,8,3.9437121482009263,123,"52,0%","22,8%",21,100,351,78,1.859636622728892,1.3786961168507303,0.929818311364446,3,,"100,0%"
Cristiano Ronaldo,2017/2018 - Real Madrid,Spanish La Liga,€,63.9,Juventus FC,Portugal,"36,03",LW,27,2292,26,5,6.989528795811518,178,"43,3%","14,6%",22,88,458,74,1.2172774869109948,1.5706806282722514,0.706806282722513,3,1,"75,0%"
Cristiano Ronaldo,2016/2017 - Real Madrid,Spanish La Liga,€,63.9,Juventus FC,Portugal,"36,03",LW,29,2544,25,6,5.731132075471698,162,"37,7%","15,4%",20,102,424,82,0.8844339622641509,1.2028301886792454,1.5919811320754718,6,2,"75,0%"
Gabriel Barbosa,2019/2020 - Flamengo,Brazilian Serie A,€,27.7,CR Flamengo,Brazil,"24,46",FW,29,2544,25,8,4.139150943396226,117,"53,0%","21,4%",16,102,318,77,1.3797169811320755,0.6014150943396227,1.025943396226415,5,,"100,0%"
Lionel Messi,2019/2020 - Barcelona,Spanish La Liga,€,74.5,FC Barcelona,Argentina,"33,64",RW,33,2880,25,21,4.96875,159,"44,7%","15,7%",13,115,137,63,5.6875,0.40624999999999994,2.1875,5,,"100,0%"
Romelu Lukaku,2016/2017 - Everton,English Premier League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,37,3267,25,6,3.0303030303030303,110,"50,0%","22,7%",7,131,545,105,1.7355371900826446,0.9917355371900827,0.9366391184573003,1,,"100,0%"
Mauro Icardi,2016/2017 - Internazionale,Italian Serie A,€,41.5,Paris Saint-Germain FC,Argentina,"27,99",FW,34,3029,24,8,3.238692637834268,109,"34,9%","22,0%",12,126,379,95,0.38626609442060084,0.6239683063717398,0.9805216242984481,3,1,"75,0%"
Ciro Immobile,2016/2017 - Lazio,Italian Serie A,€,51.6,SS Lazio,Italy,"30,99",FW,36,3124,23,3,3.9180537772087067,136,"44,1%","16,9%",17,136,1041,120,1.0083226632522408,1.2387964148527528,1.3540332906530086,6,,"100,0%"
Mbwana Samatta,2018/2019 - KRC Genk,Belgian Jupiler Pro League,€,11.3,Fenerbahce SK,Tanzania,"28,15",FW,38,3190,23,5,2.8213166144200623,100,"43,0%","23,0%",12,139,638,114,0.4796238244514107,0.6489028213166145,1.4388714733542316,1,1,"50,0%"
Romelu Lukaku,2019/2020 - Internazionale,Italian Serie A,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,36,2983,23,2,2.9869259135098893,99,"47,5%","23,2%",16,130,1492,119,0.6335903452899765,0.693932282936641,0.6034193764666443,6,,"100,0%"
Mohamed Salah,2018/2019 - Liverpool,English Premier League,€,115,Liverpool FC,Egypt,"28,67",RW,38,3256,22,8,3.786855036855037,137,"46,7%","16,1%",16,148,407,109,2.238943488943489,0.7463144963144962,0.8845208845208845,3,,"100,0%"
Nicolas Pépé,2018/2019 - Lille,French Ligue 1,€,55.7,Arsenal FC,Ivory Coast,"25,71",RW,38,3326,22,11,3.1930246542393266,118,"51,7%","18,6%",17,151,302,101,2.7600721587492485,0.29765484064942876,2.9224293445580276,9,1,"90,0%"
Paulo Dybala,2017/2018 - Juventus,Italian Serie A,€,61.6,Juventus FC,Argentina,"27,25",FW,33,2355,22,5,4.356687898089172,114,"40,4%","19,3%",3,107,471,87,3.554140127388535,0.07643312101910828,2.828025477707006,3,2,"60,0%"
Pierre-Emerick Aubameyang,2018/2019 - Arsenal,English Premier League,€,39.5,Arsenal FC,Gabon,"31,66",FW,36,2731,22,5,3.0977663859392166,94,"42,6%","23,4%",23,124,546,101,0.9556938850238006,0.7579641157085317,0.7579641157085317,4,1,"80,0%"
Pierre-Emerick Aubameyang,2019/2020 - Arsenal,English Premier League,€,39.5,Arsenal FC,Gabon,"31,66",FW,36,3138,22,3,2.667304015296367,93,"45,2%","23,7%",10,143,1046,126,0.48757170172084124,0.5736137667304015,0.5736137667304015,2,,"100,0%"
Robert Lewandowski,2018/2019 - FC Bayern München,German Bundesliga,€,73.8,FC Bayern München,Poland,"32,48",FW,33,2958,22,7,4.381338742393509,144,"35,4%","15,3%",32,134,423,102,1.5517241379310345,0.8823529411764706,1.4300202839756593,3,1,"75,0%"
Sadio Mané,2018/2019 - Liverpool,English Premier League,€,110,Liverpool FC,Senegal,"28,85",LW,36,3085,22,1,2.5380875202593196,87,"48,3%","25,3%",11,140,3085,134,1.4878444084278768,0.7293354943273906,1.8670988654781195,,,
Cristiano Ronaldo,2018/2019 - Juventus,Italian Serie A,€,63.9,Juventus FC,Portugal,"36,03",LW,31,2689,21,8,5.924135366307177,177,"39,0%","11,9%",16,128,336,93,1.5061361100780961,0.970621048716995,1.67348456675344,5,1,"83,3%"
Timo Werner,2016/2017 - RB Leipzig,German Bundesliga,€,88.2,Chelsea FC,Germany,"24,94",FW,31,2433,21,5,2.7373612823674476,74,"50,0%","28,4%",7,116,487,94,0.7768187422934648,1.8865598027127004,1.183723797780518,2,,"100,0%"
Bruno Fernandes,2018/2019 - Sporting CP,Portuguese Primeira Liga,€,107.4,Manchester United FC,Portugal,"26,44",AM,33,2942,20,13,3.6709721278042147,120,"45,8%","16,7%",7,147,226,89,0.9483344663494222,0.15295717199184228,2.4473147518694764,6,,"100,0%"
Raheem Sterling,2019/2020 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,33,2660,20,1,3.3496240601503757,99,"38,4%","20,2%",19,133,2660,127,1.8609022556390977,0.40601503759398494,1.3533834586466165,,2,
Antoine Griezmann,2017/2018 - Atlético de Madrid,Spanish La Liga,€,78.9,FC Barcelona,France,"29,90",FW,32,2529,19,9,2.562277580071174,72,"55,6%","26,4%",11,133,281,90,0.99644128113879,0.9252669039145905,1.5658362989323844,2,,"100,0%"
Mohamed Salah,2019/2020 - Liverpool,English Premier League,€,115,Liverpool FC,Egypt,"28,67",RW,34,2884,19,10,4.119278779472954,132,"44,7%","14,4%",15,152,288,99,1.5603328710124826,0.6241331484049931,0.5617198335644937,3,,"100,0%"
Neymar,2017/2018 - Paris Saint-Germain,French Ligue 1,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,20,1788,19,13,4.530201342281879,90,"45,6%","21,1%",9,94,138,56,7.147651006711409,0.5033557046979866,5.23489932885906,4,,"100,0%"
Gabriel Barbosa,2018/2019 - Santos,Brazilian Serie A,€,27.7,CR Flamengo,Brazil,"24,46",FW,35,2974,18,2,2.844653665097512,94,"42,6%","19,1%",14,165,1487,149,1.089441829186281,0.6657700067249496,1.9670477471418963,2,1,"66,7%"
Gerard Moreno,2019/2020 - Villarreal,Spanish La Liga,€,40.6,Villarreal CF,Spain,"28,86",FW,35,2752,18,5,2.9106104651162794,89,"39,3%","20,2%",12,153,550,120,1.9622093023255813,0.5232558139534884,1.635174418604651,1,1,"50,0%"
Harry Kane,2019/2020 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,29,2589,18,2,2.8157589803012746,81,"45,7%","22,2%",7,144,1295,129,0.9733487833140209,0.6952491309385863,1.52954808806489,2,,"100,0%"
Kylian Mbappé,2019/2020 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,20,1514,18,5,5.171730515191546,87,"56,3%","20,7%",19,84,303,66,3.2694848084544255,1.07001321003963,1.3077939233817701,,,
Raheem Sterling,2017/2018 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,33,2592,18,11,3.0208333333333335,87,"40,2%","20,7%",12,144,236,89,2.2222222222222223,0.6597222222222222,2.013888888888889,1,,"100,0%"
Sadio Mané,2019/2020 - Liverpool,English Premier League,€,110,Liverpool FC,Senegal,"28,85",LW,35,2753,18,7,2.5172539048310933,77,"46,8%","23,4%",18,153,393,110,2.255721031601889,0.4576825281511079,1.6672720668361787,,,
Anthony Martial,2019/2020 - Manchester United,English Premier League,€,75.4,Manchester United FC,France,"25,20",FW,32,2638,17,6,2.7293404094010616,80,"50,0%","21,3%",10,155,440,115,1.7058377558756634,0.4094010614101592,1.398786959818044,,1,
Diogo Jota,2017/2018 - Wolverhampton Wanderers,English Football League - Championship,€,58.1,Liverpool FC,Portugal,"24,20",LW,44,3632,17,5,2.973568281938326,120,"42,5%","14,2%",14,214,726,165,2.6018722466960353,0.3964757709251101,2.3540748898678414,1,,"100,0%"
Harry Kane,2018/2019 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,28,2427,17,4,3.7824474660074174,102,"45,1%","16,7%",11,143,607,116,1.4833127317676145,0.3708281829419036,1.9283065512978987,4,,"100,0%"
Hirving Lozano,2017/2018 - PSV,Dutch Eredivisie,€,43.1,SSC Napoli,Mexico,"25,54",LW,29,2346,17,8,3.836317135549872,100,"47,0%","17,0%",9,138,293,94,2.340153452685422,0.959079283887468,2.6854219948849103,,,
Hirving Lozano,2018/2019 - PSV,Dutch Eredivisie,€,43.1,SSC Napoli,Mexico,"25,54",LW,30,2472,17,8,3.203883495145631,88,"43,2%","19,3%",12,145,309,99,2.4757281553398056,0.5825242718446603,2.5121359223300974,4,,"100,0%"
Jadon Sancho,2019/2020 - Borussia Dortmund,German Bundesliga,€,117.6,Borussia Dortmund,England,"20,89",RW,32,2291,17,16,2.0427760803142734,52,"53,8%","32,7%",7,135,143,69,3.0248799650807507,0.35355739851593193,0.6678306416412048,,,
Kai Havertz,2018/2019 - Bayer 04 Leverkusen,German Bundesliga,€,90,Chelsea FC,Germany,"21,68",AM,34,2900,17,3,2.6999999999999997,87,"48,3%","19,5%",8,171,967,145,1.4896551724137932,0.12413793103448274,1.6137931034482758,3,,"100,0%"
Marcus Rashford,2019/2020 - Manchester United,English Premier League,€,115,Manchester United FC,England,"23,29",LW,31,2653,17,7,3.222766679231059,95,"46,3%","17,9%",13,156,379,111,2.0354315868827744,0.4410101771579344,1.5265736901620808,6,2,"75,0%"
Rafa Silva,2018/2019 - Benfica,Portuguese Primeira Liga,€,28.5,SL Benfica,Portugal,"27,75",LW,26,1917,17,2,2.723004694835681,58,"48,3%","29,3%",11,113,959,101,2.9107981220657275,0.09389671361502347,2.206572769953052,,,
Raheem Sterling,2018/2019 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,34,2776,17,10,2.4963976945244957,77,"50,6%","22,1%",8,163,278,103,2.65850144092219,0.42146974063400566,1.4265129682997117,,,
Raúl Jiménez,2019/2020 - Wolverhampton Wanderers,English Premier League,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,38,3244,17,6,3.2737361282367448,118,"37,3%","14,4%",9,191,541,141,1.7200986436498151,0.4993834771886559,0.9710234278668313,4,,"100,0%"
Antoine Griezmann,2016/2017 - Atlético de Madrid,Spanish La Liga,€,78.9,FC Barcelona,France,"29,90",FW,36,3065,16,8,2.5840130505709626,88,"46,6%","18,2%",6,192,383,128,0.763458401305057,0.7928221859706363,0.9690048939641109,,2,
Darwin Núñez,2019/2020 - Almería,Spanish Segunda Division,€,22,SL Benfica,Uruguay,"21,64",FW,32,2610,16,3,3.0344827586206895,88,"48,9%","18,2%",13,163,870,137,1.5517241379310345,0.896551724137931,0.8620689655172413,5,,"100,0%"
Eden Hazard,2016/2017 - Chelsea,English Premier League,€,50.2,Real Madrid CF,Belgium,"30,11",LW,36,3002,16,5,2.3084610259826785,77,"42,9%","20,8%",8,188,600,143,4.287141905396402,0.23984010659560293,3.027981345769487,2,1,"66,7%"
Eden Hazard,2018/2019 - Chelsea,English Premier League,€,50.2,Real Madrid CF,Belgium,"30,11",LW,37,2925,16,15,2.8615384615384616,93,"46,2%","17,2%",8,183,195,94,4.246153846153846,0.3384615384615385,3.2,4,,"100,0%"
Gerard Moreno,2017/2018 - Espanyol,Spanish La Liga,€,40.6,Villarreal CF,Spain,"28,86",FW,38,3413,16,1,2.768825080574275,105,"45,7%","15,2%",11,213,3413,201,1.661295048344565,0.9493114561968943,2.0568414884266044,1,1,"50,0%"
Hakim Ziyech,2018/2019 - Ajax,Dutch Eredivisie,€,52.1,Chelsea FC,Morocco,"27,91",RW,29,2412,16,13,5.746268656716418,154,"38,3%","10,4%",3,151,186,83,2.8358208955223883,0.1492537313432836,1.5671641791044777,,,
Harry Wilson,2018/2019 - Derby County,English Football League - Championship,€,15.3,Cardiff City FC,Wales,"23,90",RW,43,3452,16,4,2.9461181923522592,113,"35,4%","14,2%",7,216,863,173,0.5996523754345308,0.10428736964078796,3.024333719582851,3,,"100,0%"
Romelu Lukaku,2017/2018 - Manchester United,English Premier League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,34,2869,16,7,2.697804112931335,86,"50,0%","18,6%",11,179,410,125,1.0979435343325201,0.5646566747995817,0.5019170442662949,,1,
Timo Werner,2018/2019 - RB Leipzig,German Bundesliga,€,88.2,Chelsea FC,Germany,"24,94",FW,30,2523,16,7,3.816884661117718,107,"36,4%","15,0%",22,158,360,110,1.0344827586206897,1.2841854934601664,1.319857312722949,,1,
Álvaro Morata,2016/2017 - Real Madrid,Spanish La Liga,€,55.9,Juventus FC,Spain,"28,31",FW,26,1331,15,4,3.71900826446281,55,"54,5%","27,3%",9,89,333,70,1.487603305785124,1.419984973703982,2.299023290758828,,,
Antoine Griezmann,2018/2019 - Atlético de Madrid,Spanish La Liga,€,78.9,FC Barcelona,France,"29,90",FW,37,3202,15,9,3.176139912554653,113,"40,7%","13,3%",10,213,356,133,0.5621486570893192,0.33728919425359155,0.9837601499063087,3,,"100,0%"
Ciro Immobile,2018/2019 - Lazio,Italian Serie A,€,51.6,SS Lazio,Italy,"30,99",FW,36,2858,15,6,3.904828551434569,124,"40,3%","12,1%",18,191,476,136,0.9762071378586422,1.2281315605318404,1.2281315605318404,4,,"100,0%"
Cristiano Ronaldo,2017/2018 - Real Madrid,UEFA Champions League,€,63.9,Juventus FC,Portugal,"36,03",LW,13,1170,15,3,6.3076923076923075,82,"41,5%","18,3%",12,78,390,65,1.6923076923076923,1.3846153846153846,0.9230769230769231,4,,"100,0%"
João Félix,2018/2019 - Benfica,Portuguese Primeira Liga,€,97.8,Atlético de Madrid,Portugal,"21,26",FW,26,1733,15,7,3.427582227351414,66,"39,4%","22,7%",5,116,248,79,0.8828620888632429,0.6231967686093479,2.648586266589729,,,
Kylian Mbappé,2016/2017 - Monaco,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,29,1500,15,8,3.119999999999999,52,"67,3%","28,8%",5,100,188,65,1.92,1.44,1.32,,,
Mohamed Salah,2016/2017 - Roma,Italian Serie A,€,115,Liverpool FC,Egypt,"28,67",RW,31,2485,15,11,2.8973843058350104,80,"42,5%","18,8%",16,166,226,96,1.3038229376257546,0.9054325955734407,0.9416498993963782,,,
Neymar,2018/2019 - Paris Saint-Germain,French Ligue 1,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,17,1441,15,7,3.3726578764746695,54,"48,1%","27,8%",4,96,206,66,4.684247050659264,0.43719639139486466,3.6224843858431646,5,,"100,0%"
Robert Lewandowski,2019/2020 - FC Bayern München,UEFA Champions League,€,73.8,FC Bayern München,Poland,"32,48",FW,10,887,15,5,5.276211950394588,52,"63,5%","28,8%",11,59,177,44,1.2175873731679816,0.4058624577226606,1.6234498308906424,2,0,"100,0%"
Roberto Firmino,2017/2018 - Liverpool,English Premier League,€,63.7,Liverpool FC,Brazil,"29,37",FW,37,2776,15,7,2.723342939481268,84,"45,2%","17,9%",7,185,397,126,1.5886167146974064,0.42146974063400566,0.5835734870317003,1,,"100,0%"
Sébastien Haller,2016/2017 - FC Utrecht,Dutch Eredivisie,€,26.2,West Ham United FC,Ivory Coast,"26,65",FW,36,3224,15,5,2.735732009925558,98,"38,8%","15,3%",15,215,645,161,1.1445409429280398,0.6699751861042184,2.3728287841191067,4,1,"80,0%"
Sébastien Haller,2018/2019 - Eintracht Frankfurt,German Bundesliga,€,26.2,West Ham United FC,Ivory Coast,"26,65",FW,29,2181,15,9,2.18707015130674,53,"47,2%","28,3%",10,145,242,91,1.1554332874828062,0.8253094910591472,1.7744154057771664,3,,"100,0%"
Vincent Aboubakar,2017/2018 - FC Porto,Portuguese Primeira Liga,€,8.2,Besiktas JK,Cameroon,"29,06",FW,28,2019,15,4,3.432392273402675,77,"42,9%","19,5%",13,135,505,106,1.0698365527488856,0.5794947994056463,1.0698365527488856,1,,"100,0%"
David Neres,2017/2018 - Ajax,Dutch Eredivisie,€,31,AFC Ajax,Brazil,"23,95",RW,31,2441,14,10,2.322818517001229,63,"47,6%","22,2%",9,174,244,102,4.055714870954527,0.2580909463334699,1.5485456780008193,,,
Gabriel Jesus,2019/2020 - Manchester City,English Premier League,€,73.1,Manchester City FC,Brazil,"23,87",FW,34,2027,14,7,4.484459792797237,101,"47,5%","13,9%",24,145,290,97,1.9536260483473111,0.8436112481499752,1.2876171682289097,,1,
Hans Vanaken,2018/2019 - Club Brugge,Belgian Jupiler Pro League,€,16.6,Club Brugge,Belgium,"28,48",AM,40,3556,14,17,2.201912260967379,87,"44,8%","16,1%",9,254,209,115,1.138920134983127,0.02530933633295838,1.7463442069741284,6,1,"85,7%"
Heung-min Son,2016/2017 - Tottenham Hotspur,English Premier League,€,80.5,Tottenham Hotspur FC,South Korea,"28,60",LW,34,2068,14,6,3.4816247582205033,80,"41,3%","17,5%",5,148,345,103,1.9148936170212765,0.9574468085106382,1.3926499032882012,,,
Ivan Toney,2020/2021 - Brentford,English Football League - Championship,€,14.2,Brentford FC,England,"24,91",FW,17,1458,14,2,2.5925925925925926,42,"52,4%","33,3%",3,104,729,91,0.43209876543209874,0.8024691358024691,1.8518518518518519,3,0,"100,0%"
James Maddison,2017/2018 - Norwich City,English Football League - Championship,€,58.9,Leicester City FC,England,"24,23",AM,44,3638,14,8,2.8449697636063775,115,"26,1%","12,2%",2,260,455,165,2.57284222100055,0.07421660252886202,3.6366135239142383,4,,"100,0%"
Lautaro Martínez,2019/2020 - Internazionale,Italian Serie A,€,83.9,FC Internazionale Milano,Argentina,"23,48",FW,35,2465,14,3,4.563894523326572,125,"36,8%","11,2%",13,176,822,145,1.460446247464503,0.8032454361054766,2.738336713995943,2,1,"66,7%"
Lucas Ocampos,2019/2020 - Sevilla,Spanish La Liga,€,52,Sevilla FC,Argentina,"26,60",RW,33,2753,14,3,2.7460951689066473,84,"42,9%","16,7%",8,197,918,162,2.2230294224482385,0.39229930984380673,1.8307301126044315,5,,"100,0%"
Mason Mount,2017/2018 - Vitesse,Dutch Eredivisie,€,66,Chelsea FC,England,"22,10",AM,32,2428,14,9,2.5947281713344315,70,"35,7%","20,0%",3,173,270,106,1.742174629324547,0.2224052718286655,1.371499176276771,,,
Myron Boadu,2019/2020 - AZ,Dutch Eredivisie,€,22,AZ Alkmaar,Netherlands,"20,09",FW,24,2018,14,6,2.6759167492566895,60,"51,7%","23,3%",17,144,336,101,1.1149653121902874,0.5797819623389494,1.3825569871159564,,,
Paul Onuachu,2020/2021 - KRC Genk,Belgian Jupiler Pro League,€,14.1,KRC Genk,Nigeria,"26,71",FW,14,1078,14,1,3.5064935064935066,42,"54,8%","33,3%",1,77,1078,72,0.8348794063079777,0.6679035250463822,2.504638218923933,3,0,"100,0%"
Steven Bergwijn,2018/2019 - PSV,Dutch Eredivisie,€,48.6,Tottenham Hotspur FC,Netherlands,"23,35",LW,33,2856,14,12,3.05672268907563,97,"45,4%","14,4%",13,204,238,110,3.3403361344537816,0.22058823529411764,1.1974789915966386,1,,"100,0%"
Dominic Calvert-Lewin,2019/2020 - Everton,English Premier League,€,60.1,Everton FC,England,"23,91",FW,36,2629,13,1,2.909851654621529,85,"44,7%","15,3%",17,202,2629,188,0.4792696842906047,0.4450361354127044,1.506276150627615,,,
Donyell Malen,2017/2018 - Jong PSV,Dutch Eerste Divisie,€,37.7,PSV Eindhoven,Netherlands,"22,07",FW,22,1595,13,2,1.0156739811912225,18,"83,3%","72,2%",,123,798,106,0.05642633228840126,,0.16927899686520376,1,,"100,0%"
Edin Visca,2018/2019 - Istanbul Basaksehir,Turkish Super Lig,€,9.2,Istanbul Basaksehir FK,Bosnia-Herzegovina,"31,00",RW,34,3049,13,14,4.132502459822893,140,"36,4%","9,3%",15,235,218,113,1.4463758609380124,0.44276812069530996,0.8855362413906199,2,,"100,0%"
Edin Visca,2019/2020 - Istanbul Basaksehir,Turkish Super Lig,€,9.2,Istanbul Basaksehir FK,Bosnia-Herzegovina,"31,00",RW,33,2935,13,12,3.5264054514480407,115,"44,3%","11,3%",13,226,245,117,1.3798977853492334,0.33730834752981265,0.6746166950596253,5,1,"83,3%"
Erling Haaland,2019/2020 - Borussia Dortmund,German Bundesliga,€,110,Borussia Dortmund,Norway,"20,57",FW,15,1062,13,2,2.88135593220339,34,"58,8%","38,2%",6,82,531,71,1.0169491525423728,0.2542372881355932,0.5932203389830508,,,
Gabriel Jesus,2017/2018 - Manchester City,English Premier League,€,73.1,Manchester City FC,Brazil,"23,87",FW,29,1671,13,3,3.016157989228007,56,"58,9%","23,2%",13,129,557,104,1.2926391382405744,0.8078994614003591,0.9694793536804309,,2,
Gerard Moreno,2016/2017 - Espanyol,Spanish La Liga,€,40.6,Villarreal CF,Spain,"28,86",FW,37,3280,13,4,2.25,82,"40,2%","15,9%",6,252,820,193,1.2896341463414638,0.32926829268292684,1.3445121951219512,,1,
Giorgian de Arrascaeta,2019/2020 - Flamengo,Brazilian Serie A,€,19.1,CR Flamengo,Uruguay,"26,71",AM,23,1828,13,14,2.314004376367615,47,"42,6%","27,7%",4,141,131,68,2.461706783369803,,2.461706783369803,1,,"100,0%"
Hans Vanaken,2019/2020 - Club Brugge,Belgian Jupiler Pro League,€,16.6,Club Brugge,Belgium,"28,48",AM,29,2525,13,3,1.996039603960396,56,"42,9%","23,2%",9,194,842,158,0.9623762376237623,0.03564356435643565,0.8198019801980198,2,1,"66,7%"
Kevin De Bruyne,2019/2020 - Manchester City,English Premier League,€,113.5,Manchester City FC,Belgium,"29,63",AM,35,2798,13,20,3.1844174410293067,99,"31,3%","13,1%",3,215,140,85,1.5439599714081487,0.09649749821300929,0.9006433166547536,2,,"100,0%"
Kylian Mbappé,2017/2018 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,27,2097,13,8,3.347639484978541,78,"42,3%","16,7%",16,161,262,100,3.347639484978541,0.9871244635193133,1.5879828326180256,,,
Lautaro Martínez,2017/2018 - Racing Club,Argentina Superliga,€,83.9,FC Internazionale Milano,Argentina,"23,48",FW,21,1784,13,4,4.288116591928251,85,"44,7%","15,3%",9,137,446,105,1.9170403587443943,0.7062780269058296,3.430493273542601,,1,
