Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,FOULS per 90 mins weighted by mins_played per _Season - Club - Competition,fouls,was_fouled,Foul committed / Was fouled ratio weighted by was_fouled per _Season - Club - Competition,yellow_card,red_card
Jhon Lucumí,2018/2019 - KRC Genk,UEFA Europa League,€,9.4,KRC Genk,Colombia,"22,64",CB,3,270,1.3333333333333335,4,2,2,1,
Jhon Lucumí,2019/2020 - KRC Genk,UEFA Champions League,€,9.4,KRC Genk,Colombia,"22,64",CB,6,540,0.16666666666666669,1,4,0.25,1,0
João Pedro,2019/2020 - Fluminense,Brazilian Serie A,€,11.2,Watford FC,Brazil,"19,39",FW,25,1695,1.4336283185840708,27,33,0.8181818181818182,1,
Joe Gomez,2018/2019 - Liverpool,UEFA Champions League,€,50.2,Liverpool FC,England,"23,73",CB,9,525,0.8571428571428572,5,7,0.7142857142857143,1,
Jorginho,2016/2017 - Napoli,UEFA Champions League,€,44,Chelsea FC,Italy,"29,15",DM,4,329,2.188449848024316,8,4,2,1,0
José Giménez,2019/2020 - Atlético de Madrid,UEFA Champions League,€,41,Atlético de Madrid,Uruguay,"26,07",CB,5,300,1.5,5,1,5,1,0
José Giménez,2020/2021 - Atlético de Madrid,Spanish La Liga,€,41,Atlético de Madrid,Uruguay,"26,07",CB,4,360,0.75,3,2,1.5,1,0
Joshua Kimmich,2016/2017 - FC Bayern München,German Bundesliga,€,96.5,FC Bayern München,Germany,"26,02",DM,27,1541,0.9928617780661908,17,38,0.4473684210526316,1,0
Joshua Kimmich,2017/2018 - FC Bayern München,German Bundesliga,€,96.5,FC Bayern München,Germany,"26,02",DM,29,2333,0.6558079725675097,17,52,0.3269230769230769,1,0
Jules Koundé,2017/2018 - Bordeaux,French Ligue 1,€,60,Sevilla FC,France,"22,26",CB,18,1588,0.5100755667506297,9,6,1.5,1,0
Jules Koundé,2020/2021 - Sevilla,UEFA Champions League,€,60,Sevilla FC,France,"22,26",CB,5,335,0.8059701492537313,3,5,0.6,1,0
Julián Álvarez,2020/2021 - River Plate,Liga Profesional Argentina,€,10.5,River Plate,Argentina,"21,04",FW,6,434,1.2442396313364057,6,1,6,1,0
Julian Brandt,2019/2020 - Borussia Dortmund,UEFA Champions League,€,50,Borussia Dortmund,Germany,"24,79",AM,7,487,0.7392197125256674,4,1,4,1,0
Kai Havertz,2020/2021 - Chelsea,English Premier League,€,90,Chelsea FC,Germany,"21,68",AM,9,627,1.722488038277512,12,10,1.2,1,0
Kalidou Koulibaly,2017/2018 - Napoli,UEFA Europa League,€,45.1,SSC Napoli,Senegal,"29,65",CB,1,90,4,4,,,1,0
Kalidou Koulibaly,2018/2019 - Napoli,UEFA Europa League,€,45.1,SSC Napoli,Senegal,"29,65",CB,5,450,1.2000000000000002,6,1,6,1,
Kalidou Koulibaly,2020/2021 - Napoli,Italian Serie A,€,45.1,SSC Napoli,Senegal,"29,65",CB,9,803,0.5603985056039851,5,3,1.6666666666666667,1,0
Kevin De Bruyne,2016/2017 - Manchester City,UEFA Champions League,€,113.5,Manchester City FC,Belgium,"29,63",AM,6,539,1.0018552875695732,6,7,0.8571428571428571,1,0
Kevin De Bruyne,2019/2020 - Manchester City,UEFA Champions League,€,113.5,Manchester City FC,Belgium,"29,63",AM,7,574,1.254355400696864,8,9,0.8888888888888888,1,0
Kingsley Coman,2016/2017 - FC Bayern München,German Bundesliga,€,65.9,FC Bayern München,France,"24,67",LW,19,914,1.0831509846827134,11,18,0.6111111111111112,1,0
Kingsley Coman,2016/2017 - FC Bayern München,UEFA Champions League,€,65.9,FC Bayern München,France,"24,67",LW,2,35,,,,,1,0
Koke,2017/2018 - Atlético de Madrid,UEFA Europa League,€,48.9,Atlético de Madrid,Spain,"29,10",CM,9,753,0.8366533864541833,7,8,0.875,1,0
Koke,2019/2020 - Atlético de Madrid,UEFA Champions League,€,48.9,Atlético de Madrid,Spain,"29,10",CM,9,799,0.6758448060075094,6,11,0.5454545454545454,1,0
Koke,2020/2021 - Atlético de Madrid,UEFA Champions League,€,48.9,Atlético de Madrid,Spain,"29,10",CM,6,484,0.9297520661157025,5,5,1,1,0
Kurt Zouma,2017/2018 - Stoke City,English Premier League,€,48.2,Chelsea FC,France,"26,30",CB,34,2888,0.5921052631578947,19,21,0.9047619047619048,1,0
Kurt Zouma,2020/2021 - Chelsea,English Premier League,€,48.2,Chelsea FC,France,"26,30",CB,10,900,0.9,9,1,9,1,0
Kylian Mbappé,2017/2018 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,8,658,0.41033434650455924,3,7,0.42857142857142855,1,0
Kylian Mbappé,2018/2019 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,8,701,0.25677603423680456,2,12,0.16666666666666666,1,
Kylian Mbappé,2019/2020 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,10,652,0.6901840490797546,5,10,0.5,1,0
Lautaro Martínez,2018/2019 - Internazionale,UEFA Champions League,€,83.9,FC Internazionale Milano,Argentina,"23,48",FW,3,53,6.792452830188678,4,2,2,1,
Lautaro Martínez,2019/2020 - Internazionale,UEFA Europa League,€,83.9,FC Internazionale Milano,Argentina,"23,48",FW,5,357,1.7647058823529411,7,8,0.875,1,0
Lautaro Martínez,2020/2021 - Internazionale,UEFA Champions League,€,83.9,FC Internazionale Milano,Argentina,"23,48",FW,6,408,0.6617647058823529,3,8,0.375,1,0
Leon Goretzka,2020/2021 - FC Bayern München,German Bundesliga,€,59.3,FC Bayern München,Germany,"26,03",CM,9,670,0.6716417910447761,5,7,0.7142857142857143,1,0
Leroy Sané,2018/2019 - Manchester City,English Premier League,€,75.8,FC Bayern München,Germany,"25,10",LW,31,1867,0.43385109801821103,9,14,0.6428571428571429,1,
Leroy Sané,2020/2021 - FC Bayern München,UEFA Champions League,€,75.8,FC Bayern München,Germany,"25,10",LW,4,219,2.054794520547945,5,3,1.6666666666666667,1,0
Lorenzo Pellegrini,2018/2019 - Roma,UEFA Champions League,€,40,AS Roma,Italy,"24,66",CM,6,394,2.0558375634517767,9,6,1.5,1,
Lorenzo Pellegrini,2019/2020 - Roma,UEFA Europa League,€,40,AS Roma,Italy,"24,66",CM,5,233,1.5450643776824033,4,1,4,1,0
Lorenzo Pellegrini,2020/2021 - Roma,Italian Serie A,€,40,AS Roma,Italy,"24,66",CM,10,737,1.0990502035278156,9,10,0.9,1,0
Luca Waldschmidt,2018/2019 - Sport-Club Freiburg,German Bundesliga,€,19.8,SL Benfica,Germany,"24,74",FW,30,1716,1.7307692307692308,33,26,1.2692307692307692,1,
Lucas Hernández,2017/2018 - Atlético de Madrid,UEFA Champions League,€,41.5,FC Bayern München,France,"25,00",LB,3,270,1.6666666666666665,5,5,1,1,0
Lucas Hernández,2017/2018 - Atlético de Madrid,UEFA Europa League,€,41.5,FC Bayern München,France,"25,00",LB,8,613,0.5872756933115824,4,9,0.4444444444444444,1,0
Lucas Hernández,2018/2019 - Atlético de Madrid,UEFA Champions League,€,41.5,FC Bayern München,France,"25,00",LB,5,450,0.6000000000000001,3,5,0.6,1,
Lucas Hernández,2020/2021 - FC Bayern München,German Bundesliga,€,41.5,FC Bayern München,France,"25,00",LB,7,498,1.0843373493975905,6,13,0.46153846153846156,1,0
Lucas Hernández,2020/2021 - FC Bayern München,UEFA Champions League,€,41.5,FC Bayern München,France,"25,00",LB,6,408,1.5441176470588236,7,8,0.875,1,0
Lucas Ocampos,2018/2019 - Marseille,UEFA Europa League,€,52,Sevilla FC,Argentina,"26,60",RW,4,341,2.1114369501466275,8,8,1,1,1
Lucas Ocampos,2019/2020 - Sevilla,UEFA Europa League,€,52,Sevilla FC,Argentina,"26,60",RW,7,564,1.595744680851064,10,14,0.7142857142857143,1,0
Lucas Ocampos,2020/2021 - Sevilla,Spanish La Liga,€,52,Sevilla FC,Argentina,"26,60",RW,10,756,1.1904761904761905,10,24,0.4166666666666667,1,0
Lukas Klostermann,2016/2017 - RB Leipzig,German Bundesliga,€,40,RB Leipzig,Germany,"24,70",CB,1,90,2,2,,,1,0
Lukas Klostermann,2018/2019 - RB Leipzig,German Bundesliga,€,40,RB Leipzig,Germany,"24,70",CB,26,2001,0.7646176911544228,17,11,1.5454545454545454,1,
Lukas Klostermann,2019/2020 - RB Leipzig,German Bundesliga,€,40,RB Leipzig,Germany,"24,70",CB,31,2645,0.40831758034026466,12,14,0.8571428571428571,1,
Lukas Klostermann,2019/2020 - RB Leipzig,UEFA Champions League,€,40,RB Leipzig,Germany,"24,70",CB,10,809,0.5562422744128553,5,0,,1,0
Lukas Klostermann,2020/2021 - RB Leipzig,German Bundesliga,€,40,RB Leipzig,Germany,"24,70",CB,4,244,0.36885245901639346,1,1,1,1,0
Marc-André ter Stegen,2016/2017 - Barcelona,Spanish La Liga,€,75,FC Barcelona,Germany,"28,79",GK,36,3240,0.027777777777777776,1,4,0.25,1,0
Marc-André ter Stegen,2016/2017 - Barcelona,UEFA Champions League,€,75,FC Barcelona,Germany,"28,79",GK,9,810,0.1111111111111111,1,1,1,1,0
Marc-André ter Stegen,2019/2020 - Barcelona,Spanish La Liga,€,75,FC Barcelona,Germany,"28,79",GK,36,3240,,,2,,1,
Marcel Sabitzer,2017/2018 - RB Leipzig,UEFA Champions League,€,41.3,RB Leipzig,Austria,"26,91",RW,5,395,0.9113924050632911,4,7,0.5714285714285714,1,0
Marcel Sabitzer,2017/2018 - RB Leipzig,UEFA Europa League,€,41.3,RB Leipzig,Austria,"26,91",RW,5,261,1.379310344827586,4,3,1.3333333333333333,1,0
Marcel Sabitzer,2018/2019 - RB Leipzig,UEFA Europa League,€,41.3,RB Leipzig,Austria,"26,91",RW,5,272,1.3235294117647058,4,2,2,1,
Marcel Sabitzer,2020/2021 - RB Leipzig,German Bundesliga,€,41.3,RB Leipzig,Austria,"26,91",RW,6,383,1.1749347258485638,5,5,1,1,0
Marcos Llorente,2017/2018 - Real Madrid,Spanish La Liga,€,41.1,Atlético de Madrid,Spain,"26,04",FW,13,540,1,6,4,1.5,1,0
Marcos Llorente,2018/2019 - Real Madrid,Spanish La Liga,€,41.1,Atlético de Madrid,Spain,"26,04",FW,7,540,2.5,15,7,2.142857142857143,1,
Marcos Llorente,2020/2021 - Atlético de Madrid,UEFA Champions League,€,41.1,Atlético de Madrid,Spain,"26,04",FW,6,477,1.1320754716981132,6,6,1,1,0
Marcus Rashford,2017/2018 - Manchester United,UEFA Champions League,€,115,Manchester United FC,England,"23,29",LW,8,343,1.0495626822157433,4,8,0.5,1,0
Marcus Rashford,2018/2019 - Manchester United,UEFA Champions League,€,115,Manchester United FC,England,"23,29",LW,10,724,1.7403314917127073,14,9,1.5555555555555556,1,
Marcus Rashford,2019/2020 - Manchester United,UEFA Europa League,€,115,Manchester United FC,England,"23,29",LW,6,414,1.0869565217391304,5,8,0.625,1,0
Marcus Rashford,2020/2021 - Manchester United,English Premier League,€,115,Manchester United FC,England,"23,29",LW,10,844,0.8530805687203792,8,15,0.5333333333333333,1,0
Marcus Thuram,2019/2020 - Borussia Mönchengladbach,UEFA Europa League,€,41.5,Borussia VfL Mönchengladbach,France,"23,53",LW,6,520,2.5961538461538463,15,9,1.6666666666666667,1,0
Marquinhos,2016/2017 - Paris Saint-Germain,French Ligue 1,€,58.6,Paris Saint-Germain FC,Brazil,"26,75",CB,29,2500,0.396,11,11,1,1,0
Marquinhos,2017/2018 - Paris Saint-Germain,French Ligue 1,€,58.6,Paris Saint-Germain FC,Brazil,"26,75",CB,26,2264,0.31802120141342755,8,8,1,1,0
Marquinhos,2017/2018 - Paris Saint-Germain,UEFA Champions League,€,58.6,Paris Saint-Germain FC,Brazil,"26,75",CB,8,720,0.25,2,3,0.6666666666666666,1,0
Marquinhos,2019/2020 - Paris Saint-Germain,French Ligue 1,€,58.6,Paris Saint-Germain FC,Brazil,"26,75",CB,19,1474,1.1601085481682496,19,6,3.1666666666666665,1,
Marquinhos,2019/2020 - Paris Saint-Germain,UEFA Champions League,€,58.6,Paris Saint-Germain FC,Brazil,"26,75",CB,11,970,1.2061855670103092,13,5,2.6,1,0
Marquinhos,2020/2021 - Paris Saint-Germain,French Ligue 1,€,58.6,Paris Saint-Germain FC,Brazil,"26,75",CB,7,547,0.6581352833638026,4,1,4,1,0
Martin Ødegaard,2017/2018 - sc Heerenveen,Dutch Eredivisie,€,50,Real Madrid CF,Norway,"22,16",AM,24,2079,0.8658008658008659,20,36,0.5555555555555556,1,0
Mason Greenwood,2020/2021 - Manchester United,English Premier League,€,57.6,Manchester United FC,England,"19,37",RW,7,412,0.6553398058252428,3,5,0.6,1,0
Mason Mount,2017/2018 - Vitesse,UEFA Europa League,€,66,Chelsea FC,England,"22,10",AM,6,367,0.7356948228882834,3,2,1.5,1,0
Mason Mount,2020/2021 - Chelsea,English Premier League,€,66,Chelsea FC,England,"22,10",AM,10,810,1.4444444444444446,13,9,1.4444444444444444,1,0
Mateo Kovacic,2016/2017 - Real Madrid,UEFA Champions League,€,48.1,Chelsea FC,Croatia,"26,78",CM,6,219,3.287671232876712,8,2,4,1,0
Mateo Kovacic,2018/2019 - Chelsea,UEFA Europa League,€,48.1,Chelsea FC,Croatia,"26,78",CM,12,914,0.9846827133479212,10,23,0.43478260869565216,1,
Matthijs de Ligt,2018/2019 - Ajax,Dutch Eredivisie,€,88.5,Juventus FC,Netherlands,"21,51",CB,33,2970,0.6666666666666667,22,17,1.2941176470588236,1,
Matthijs de Ligt,2020/2021 - Juventus,Italian Serie A,€,88.5,Juventus FC,Netherlands,"21,51",CB,3,270,1.6666666666666665,5,2,2.5,1,0
Mauro Icardi,2016/2017 - Internazionale,Italian Serie A,€,41.5,Paris Saint-Germain FC,Argentina,"27,99",FW,34,3029,0.8319577418289865,28,33,0.8484848484848485,1,0
Mauro Icardi,2019/2020 - Paris Saint-Germain,UEFA Champions League,€,41.5,Paris Saint-Germain FC,Argentina,"27,99",FW,7,480,0.5625,3,8,0.375,1,0
Mbwana Samatta,2019/2020 - Aston Villa,English Premier League,€,11.3,Fenerbahce SK,Tanzania,"28,15",FW,14,946,0.8562367864693446,9,18,0.5,1,
Mbwana Samatta,2019/2020 - KRC Genk,Belgian Jupiler Pro League,€,11.3,Fenerbahce SK,Tanzania,"28,15",FW,20,1569,0.9751434034416825,17,43,0.3953488372093023,1,
Mikel Merino,2016/2017 - Borussia Dortmund,German Bundesliga,€,48,Real Sociedad de Fútbol,Spain,"24,65",CM,8,293,1.5358361774744027,5,7,0.7142857142857143,1,0
Mikel Oyarzabal,2020/2021 - Real Sociedad,Spanish La Liga,€,65,Real Sociedad de Fútbol,Spain,"23,82",LW,11,715,1.006993006993007,8,10,0.8,1,0
Mikel Oyarzabal,2020/2021 - Real Sociedad,UEFA Europa League,€,65,Real Sociedad de Fútbol,Spain,"23,82",LW,5,426,0.6338028169014085,3,5,0.6,1,0
Milan Skriniar,2018/2019 - Internazionale,UEFA Europa League,€,42.5,FC Internazionale Milano,Slovakia,"26,01",CB,3,257,2.1011673151750974,6,2,3,1,
Milan Skriniar,2019/2020 - Internazionale,UEFA Champions League,€,42.5,FC Internazionale Milano,Slovakia,"26,01",CB,6,540,1.8333333333333335,11,4,2.75,1,0
Mohamed Salah,2017/2018 - Liverpool,English Premier League,€,115,Liverpool FC,Egypt,"28,67",RW,36,2921,0.4929818555289284,16,29,0.5517241379310345,1,0
Mohamed Salah,2018/2019 - Liverpool,English Premier League,€,115,Liverpool FC,Egypt,"28,67",RW,38,3256,0.691031941031941,25,32,0.78125,1,
Mohamed Salah,2018/2019 - Liverpool,UEFA Champions League,€,115,Liverpool FC,Egypt,"28,67",RW,12,1058,1.5311909262759924,18,17,1.0588235294117647,1,
Mohamed Salah,2019/2020 - Liverpool,English Premier League,€,115,Liverpool FC,Egypt,"28,67",RW,34,2884,0.5305131761442441,17,18,0.9444444444444444,1,
Moussa Diaby,2018/2019 - Paris Saint-Germain,French Ligue 1,€,59.6,Bayer 04 Leverkusen,France,"21,61",LW,25,1131,1.193633952254642,15,6,2.5,1,
Moussa Diaby,2019/2020 - Bayer 04 Leverkusen,UEFA Europa League,€,59.6,Bayer 04 Leverkusen,France,"21,61",LW,4,331,1.903323262839879,7,3,2.3333333333333335,1,0
Myron Boadu,2018/2019 - AZ,Dutch Eredivisie,€,22,AZ Alkmaar,Netherlands,"20,09",FW,8,391,0.9207161125319695,4,1,4,1,
Myron Boadu,2019/2020 - AZ,UEFA Europa League,€,22,AZ Alkmaar,Netherlands,"20,09",FW,7,623,1.3001605136436598,9,14,0.6428571428571429,1,1
Myron Boadu,2020/2021 - AZ,Dutch Eredivisie,€,22,AZ Alkmaar,Netherlands,"20,09",FW,8,571,0.6304728546409808,4,9,0.4444444444444444,1,0
Myron Boadu,2020/2021 - AZ,UEFA Europa League,€,22,AZ Alkmaar,Netherlands,"20,09",FW,4,190,1.894736842105263,4,1,4,1,0
Nacer Chadli,2017/2018 - West Bromwich Albion,English Premier League,€,8.2,Istanbul Basaksehir FK,Belgium,"31,54",LW,5,216,0.4166666666666666,1,,,1,0
Nacer Chadli,2018/2019 - Monaco,French Ligue 1,€,8.2,Istanbul Basaksehir FK,Belgium,"31,54",LW,16,692,1.300578034682081,10,8,1.25,1,
Nacer Chadli,2020/2021 - Istanbul Basaksehir,Turkish Super Lig,€,8.2,Istanbul Basaksehir FK,Belgium,"31,54",LW,4,234,1.1538461538461537,3,2,1.5,1,0
Neymar,2020/2021 - Paris Saint-Germain,French Ligue 1,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,6,479,1.3152400835073068,7,25,0.28,1,1
N'Golo Kanté,2018/2019 - Chelsea,UEFA Europa League,€,51.5,Chelsea FC,France,"29,88",CM,10,580,1.5517241379310345,10,7,1.4285714285714286,1,
N'Golo Kanté,2019/2020 - Chelsea,UEFA Champions League,€,51.5,Chelsea FC,France,"29,88",CM,4,360,1.5,6,1,6,1,0
N'Golo Kanté,2020/2021 - Chelsea,English Premier League,€,51.5,Chelsea FC,France,"29,88",CM,11,983,1.7395727365208544,19,4,4.75,1,0
N'Golo Kanté,2020/2021 - Chelsea,UEFA Champions League,€,51.5,Chelsea FC,France,"29,88",CM,6,232,1.9396551724137931,5,1,5,1,0
Nicolas Pépé,2018/2019 - Lille,French Ligue 1,€,55.7,Arsenal FC,Ivory Coast,"25,71",RW,38,3326,0.6494287432351173,24,108,0.2222222222222222,1,
Ousmane Dembélé,2016/2017 - Borussia Dortmund,UEFA Champions League,€,43.4,FC Barcelona,France,"23,75",RW,10,769,0.8192457737321196,7,17,0.4117647058823529,1,0
Ousmane Dembélé,2018/2019 - Barcelona,Spanish La Liga,€,43.4,FC Barcelona,France,"23,75",RW,29,1671,1.18491921005386,22,22,1,1,
Ousmane Dembélé,2019/2020 - Barcelona,Spanish La Liga,€,43.4,FC Barcelona,France,"23,75",RW,5,358,0.25139664804469275,1,5,0.2,1,1
Ousmane Dembélé,2019/2020 - Barcelona,UEFA Champions League,€,43.4,FC Barcelona,France,"23,75",RW,4,136,1.3235294117647058,2,1,2,1,0
Pau Torres,2020/2021 - Villarreal,Spanish La Liga,€,47.2,Villarreal CF,Spain,"24,08",CB,12,1080,0.5833333333333334,7,4,1.75,1,0
Paul Onuachu,2019/2020 - KRC Genk,Belgian Jupiler Pro League,€,14.1,KRC Genk,Nigeria,"26,71",FW,22,1537,2.342225113858165,40,36,1.1111111111111112,1,
Paul Pogba,2019/2020 - Manchester United,English Premier League,€,49.6,Manchester United FC,France,"27,92",CM,16,1205,1.941908713692946,26,18,1.4444444444444444,1,
Paulo Dybala,2016/2017 - Juventus,UEFA Champions League,€,61.6,Juventus FC,Argentina,"27,25",FW,11,797,1.0163111668757843,9,31,0.2903225806451613,1,0
Paulo Dybala,2018/2019 - Juventus,UEFA Champions League,€,61.6,Juventus FC,Argentina,"27,25",FW,9,518,0.8687258687258687,5,16,0.3125,1,
Pedri,2020/2021 - Barcelona,Spanish La Liga,€,58.1,FC Barcelona,Spain,"18,22",AM,10,493,0.5476673427991886,3,6,0.5,1,0
Pedro Guilherme Abreu dos Santos,2018/2019 - Fluminense,Brazilian Serie A,€,15.2,CR Flamengo,Brazil,"23,65",FW,19,1600,1.4625,26,41,0.6341463414634146,1,
Pedro Guilherme Abreu dos Santos,2020/2021 - Flamengo,Brazilian Serie A,€,15.2,CR Flamengo,Brazil,"23,65",FW,19,1177,1.6822429906542056,22,21,1.0476190476190477,1,0
Philippe Coutinho,2017/2018 - Barcelona,Spanish La Liga,€,47.7,FC Barcelona,Brazil,"28,68",AM,18,1303,0.8288564850345357,12,32,0.375,1,0
Pierre-Emerick Aubameyang,2016/2017 - Borussia Dortmund,UEFA Champions League,€,39.5,Arsenal FC,Gabon,"31,66",FW,9,708,0.635593220338983,5,7,0.7142857142857143,1,0
Pierre-Emerick Aubameyang,2018/2019 - Arsenal,UEFA Europa League,€,39.5,Arsenal FC,Gabon,"31,66",FW,12,934,1.0599571734475375,11,7,1.5714285714285714,1,
Pierre-Emile Höjbjerg,2016/2017 - Southampton,UEFA Europa League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,6,412,1.7475728155339805,8,8,1,1,0
Pierre-Emile Höjbjerg,2020/2021 - Tottenham Hotspur,English Premier League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,11,990,1.9090909090909092,21,14,1.5,1,0
Pierre-Emile Höjbjerg,2020/2021 - Tottenham Hotspur,UEFA Europa League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,5,271,1.3284132841328413,4,2,2,1,0
Piotr Zielinski,2016/2017 - Napoli,UEFA Champions League,€,40.5,SSC Napoli,Poland,"26,74",CM,7,305,2.360655737704918,8,5,1.6,1,0
Piotr Zielinski,2017/2018 - Napoli,UEFA Europa League,€,40.5,SSC Napoli,Poland,"26,74",CM,2,180,1,2,5,0.4,1,0
Rafa Silva,2016/2017 - Sporting Braga,Portuguese Primeira Liga,€,28.5,SL Benfica,Portugal,"27,75",LW,1,74,1.2162162162162162,1,1,1,1,0
Rafa Silva,2019/2020 - Benfica,UEFA Europa League,€,28.5,SL Benfica,Portugal,"27,75",LW,2,101,3.5643564356435644,4,2,2,1,0
Raheem Sterling,2017/2018 - Manchester City,UEFA Champions League,€,125,Manchester City FC,England,"26,19",LW,8,495,1.4545454545454546,8,13,0.6153846153846154,1,0
Raheem Sterling,2018/2019 - Manchester City,UEFA Champions League,€,125,Manchester City FC,England,"26,19",LW,10,871,1.5499425947187138,15,10,1.5,1,
Raheem Sterling,2020/2021 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,9,730,1.356164383561644,11,12,0.9166666666666666,1,0
Raheem Sterling,2020/2021 - Manchester City,UEFA Champions League,€,125,Manchester City FC,England,"26,19",LW,6,473,1.1416490486257929,6,5,1.2,1,0
Raphaël Varane,2016/2017 - Real Madrid,Spanish La Liga,€,69.4,Real Madrid CF,France,"27,81",CB,23,1927,0.5137519460300985,11,6,1.8333333333333333,1,0
Raphaël Varane,2017/2018 - Real Madrid,UEFA Champions League,€,69.4,Real Madrid CF,France,"27,81",CB,11,938,0.2878464818763326,3,4,0.75,1,0
Raphaël Varane,2018/2019 - Real Madrid,UEFA Champions League,€,69.4,Real Madrid CF,France,"27,81",CB,4,360,0.75,3,1,3,1,
Raphaël Varane,2019/2020 - Real Madrid,UEFA Champions League,€,69.4,Real Madrid CF,France,"27,81",CB,8,720,0.375,3,1,3,1,0
Raphaël Varane,2020/2021 - Real Madrid,UEFA Champions League,€,69.4,Real Madrid CF,France,"27,81",CB,6,540,0.6666666666666667,4,3,1.3333333333333333,1,0
Reece James,2019/2020 - Chelsea,English Premier League,€,47.7,Chelsea FC,England,"21,19",RB,24,1513,1.3086582947785856,22,21,1.0476190476190477,1,
Reece James,2019/2020 - Chelsea,UEFA Champions League,€,47.7,Chelsea FC,England,"21,19",RB,6,383,0.2349869451697128,1,6,0.16666666666666666,1,0
Richarlison,2020/2021 - Everton,English Premier League,€,59.7,Everton FC,Brazil,"23,76",FW,8,639,0.9859154929577465,7,20,0.35,1,1
Riyad Mahrez,2016/2017 - Leicester City,UEFA Champions League,€,51.5,Manchester City FC,Algeria,"29,98",RW,9,775,0.9290322580645162,8,12,0.6666666666666666,1,0
Riyad Mahrez,2018/2019 - Manchester City,UEFA Champions League,€,51.5,Manchester City FC,Algeria,"29,98",RW,6,388,1.3917525773195876,6,3,2,1,
Robert Lewandowski,2017/2018 - FC Bayern München,German Bundesliga,€,73.8,FC Bayern München,Poland,"32,48",FW,30,2169,1.5352697095435683,37,37,1,1,0
Roberto Firmino,2017/2018 - Liverpool,English Premier League,€,63.7,Liverpool FC,Brazil,"29,37",FW,37,2776,1.8479827089337175,57,18,3.1666666666666665,1,0
Roberto Firmino,2020/2021 - Liverpool,English Premier League,€,63.7,Liverpool FC,Brazil,"29,37",FW,11,876,1.0273972602739725,10,6,1.6666666666666667,1,0
Rodri,2016/2017 - Villarreal,Spanish La Liga,€,71.8,Manchester City FC,Spain,"24,65",DM,23,837,1.8279569892473118,17,14,1.2142857142857142,1,0
Rodri,2016/2017 - Villarreal,UEFA Europa League,€,71.8,Manchester City FC,Spain,"24,65",DM,4,193,2.7979274611398965,6,3,2,1,0
Rodri,2017/2018 - Villarreal,UEFA Europa League,€,71.8,Manchester City FC,Spain,"24,65",DM,6,458,1.1790393013100435,6,6,1,1,0
Rodri,2020/2021 - Manchester City,UEFA Champions League,€,71.8,Manchester City FC,Spain,"24,65",DM,5,362,1.2430939226519337,5,1,5,1,0
Rodrigo Bentancur,2018/2019 - Juventus,UEFA Champions League,€,54.3,Juventus FC,Uruguay,"23,64",CM,7,550,1.963636363636364,12,9,1.3333333333333333,1,
Rodrigo Bentancur,2020/2021 - Juventus,Italian Serie A,€,54.3,Juventus FC,Uruguay,"23,64",CM,8,399,2.2556390977443606,10,4,2.5,1,0
Rodrygo,2018/2019 - Santos,Brazilian Serie A,€,55.3,Real Madrid CF,Brazil,"20,10",RW,35,2689,1.137969505392339,34,77,0.44155844155844154,1,
Rodrygo,2019/2020 - Santos,Brazilian Serie A,€,55.3,Real Madrid CF,Brazil,"20,10",RW,4,360,2,8,8,1,1,
Roman Yaremchuk,2020/2021 - KAA Gent,Belgian Jupiler Pro League,€,13.3,KAA Gent,Ukraine,"25,22",FW,11,953,0.9443861490031479,10,11,0.9090909090909091,1,0
Romelu Lukaku,2018/2019 - Manchester United,UEFA Champions League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,9,546,0.989010989010989,6,2,3,1,
Romelu Lukaku,2020/2021 - Internazionale,Italian Serie A,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,9,612,1.1764705882352942,8,5,1.6,1,0
Romelu Lukaku,2020/2021 - Internazionale,UEFA Champions League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,5,446,0.8071748878923767,4,3,1.3333333333333333,1,0
Rúben Dias,2017/2018 - Benfica,UEFA Champions League,€,76,Manchester City FC,Portugal,"23,75",CB,2,180,1,2,,,1,0
Rúben Dias,2018/2019 - Benfica,UEFA Champions League,€,76,Manchester City FC,Portugal,"23,75",CB,5,405,1.1111111111111112,5,2,2.5,1,1
Rúben Dias,2019/2020 - Benfica,UEFA Champions League,€,76,Manchester City FC,Portugal,"23,75",CB,6,540,1,6,7,0.8571428571428571,1,0
Rúben Dias,2020/2021 - Benfica,Portuguese Primeira Liga,€,76,Manchester City FC,Portugal,"23,75",CB,2,180,1.5,3,1,3,1,0
Rúben Dias,2020/2021 - Manchester City,UEFA Champions League,€,76,Manchester City FC,Portugal,"23,75",CB,4,360,0.25,1,2,0.5,1,0
