Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,FOULS per 90 mins weighted by mins_played per _Season - Club - Competition,fouls,was_fouled,Foul committed / Was fouled ratio weighted by was_fouled per _Season - Club - Competition,yellow_card,red_card
Kurt Zouma,2019/2020 - Chelsea,English Premier League,€,48.2,Chelsea FC,France,"26,30",CB,28,2343,1.1523687580025608,30,14,2.142857142857143,6,
Lionel Messi,2016/2017 - Barcelona,Spanish La Liga,€,74.5,FC Barcelona,Argentina,"33,64",RW,34,2832,0.4449152542372881,14,79,0.17721518987341772,6,0
Lorenzo Pellegrini,2018/2019 - Roma,Italian Serie A,€,40,AS Roma,Italy,"24,66",CM,25,1827,1.5763546798029557,32,32,1,6,
Lorenzo Pellegrini,2019/2020 - Roma,Italian Serie A,€,40,AS Roma,Italy,"24,66",CM,27,2108,1.7504743833017078,41,33,1.2424242424242424,6,1
Lucas Hernández,2017/2018 - Atlético de Madrid,Spanish La Liga,€,41.5,FC Bayern München,France,"25,00",LB,27,2116,1.3185255198487713,31,46,0.6739130434782609,6,1
Lucas Ocampos,2017/2018 - Marseille,French Ligue 1,€,52,Sevilla FC,Argentina,"26,60",RW,31,2037,1.634756995581738,37,47,0.7872340425531915,6,1
Neymar,2016/2017 - Barcelona,Spanish La Liga,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,30,2652,1.2217194570135748,36,126,0.2857142857142857,6,1
Ozan Tufan,2019/2020 - Fenerbahçe,Turkish Super Lig,€,9.4,Fenerbahce SK,Turkey,"25,90",CM,33,2825,1.4017699115044249,44,63,0.6984126984126984,6,2
Pau Torres,2018/2019 - Málaga,Spanish Segunda Division,€,47.2,Villarreal CF,Spain,"24,08",CB,40,3860,0.8626943005181348,37,18,2.0555555555555554,6,
Pau Torres,2019/2020 - Villarreal,Spanish La Liga,€,47.2,Villarreal CF,Spain,"24,08",CB,34,2971,0.8784920902053183,29,9,3.2222222222222223,6,
Paul Pogba,2018/2019 - Manchester United,English Premier League,€,49.6,Manchester United FC,France,"27,92",CM,35,3009,1.6151545363908277,54,69,0.782608695652174,6,
Pierre-Emile Höjbjerg,2017/2018 - Southampton,English Premier League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,23,1671,1.7235188509874326,32,29,1.103448275862069,6,0
