Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,goal_assist,total_att_assist,Passes per 90 mins weighted by mins_played per _Season - Club - Competition,Pass success weighted by total_pass per _Season - Club - Competition,total_pass,Pass success final third weighted by total_pass per _Season - Club - Competition,total_final_third_passes,Cross accuracy weighted by total_cross_nocorner per _Season - Club - Competition,total_cross_nocorner
Mateo Kovacic,2016/2017 - Real Madrid,Spanish La Liga,€,48.1,Chelsea FC,Croatia,"26,78",CM,27,1688,3,17,"55,1",91%,1034,78%,225,"25,0%",4
Mateo Kovacic,2016/2017 - Real Madrid,UEFA Champions League,€,48.1,Chelsea FC,Croatia,"26,78",CM,6,219,,6,"81,8",95%,199,93%,56,"100,0%",1
Mateo Kovacic,2017/2018 - Real Madrid,Spanish La Liga,€,48.1,Chelsea FC,Croatia,"26,78",CM,21,988,1,10,"72,1",94%,791,88%,197,,4
Mateo Kovacic,2017/2018 - Real Madrid,UEFA Champions League,€,48.1,Chelsea FC,Croatia,"26,78",CM,7,257,1,2,"67,9",91%,194,83%,47,,1
Mateo Kovacic,2018/2019 - Chelsea,English Premier League,€,48.1,Chelsea FC,Croatia,"26,78",CM,32,1744,2,25,"75,8",92%,1468,87%,522,"12,5%",8
Mateo Kovacic,2018/2019 - Chelsea,UEFA Europa League,€,48.1,Chelsea FC,Croatia,"26,78",CM,12,914,,3,"76,5",92%,777,88%,196,,1
Mateo Kovacic,2019/2020 - Chelsea,English Premier League,€,48.1,Chelsea FC,Croatia,"26,78",CM,31,2073,3,28,"81,1",90%,1868,81%,531,"12,5%",8
Mateo Kovacic,2019/2020 - Chelsea,UEFA Champions League,€,48.1,Chelsea FC,Croatia,"26,78",CM,8,612,0,12,"57,1",91%,388,80%,119,"0,0%",3
Mateo Kovacic,2020/2021 - Chelsea,English Premier League,€,48.1,Chelsea FC,Croatia,"26,78",CM,7,405,1,5,"70,7",92%,318,85%,91,"50,0%",2
Mateo Kovacic,2020/2021 - Chelsea,UEFA Champions League,€,48.1,Chelsea FC,Croatia,"26,78",CM,6,341,1,3,"57,0",88%,216,76%,63,"0,0%",1
Mikel Merino,2016/2017 - Borussia Dortmund,German Bundesliga,€,48,Real Sociedad de Fútbol,Spain,"24,65",CM,8,293,,3,"107,5",84%,350,76%,68,,1
Mikel Merino,2016/2017 - Borussia Dortmund,UEFA Champions League,€,48,Real Sociedad de Fútbol,Spain,"24,65",CM,0,,,,,,,,,,
Mikel Merino,2017/2018 - Newcastle United,English Premier League,€,48,Real Sociedad de Fútbol,Spain,"24,65",CM,24,1343,1,16,"54,4",79%,812,69%,245,,3
Mikel Merino,2018/2019 - Real Sociedad,Spanish La Liga,€,48,Real Sociedad de Fútbol,Spain,"24,65",CM,29,2060,3,13,"47,6",80%,1089,65%,343,"33,3%",15
Mikel Merino,2019/2020 - Real Sociedad,Spanish La Liga,€,48,Real Sociedad de Fútbol,Spain,"24,65",CM,36,3144,1,33,"55,4",76%,1934,62%,699,"25,0%",32
Mikel Merino,2020/2021 - Real Sociedad,Spanish La Liga,€,48,Real Sociedad de Fútbol,Spain,"24,65",CM,11,876,2,13,"50,2",77%,489,69%,186,"0,0%",7
Mikel Merino,2020/2021 - Real Sociedad,UEFA Europa League,€,48,Real Sociedad de Fútbol,Spain,"24,65",CM,6,515,2,11,"56,4",80%,323,72%,147,"40,0%",5
Philippe Coutinho,2016/2017 - Liverpool,English Premier League,€,47.7,FC Barcelona,Brazil,"28,68",AM,31,2243,7,65,"56,2",84%,1401,78%,793,"19,0%",42
Philippe Coutinho,2017/2018 - Barcelona,Spanish La Liga,€,47.7,FC Barcelona,Brazil,"28,68",AM,18,1303,5,29,"56,2",87%,814,81%,411,"14,3%",14
Philippe Coutinho,2017/2018 - Liverpool,English Premier League,€,47.7,FC Barcelona,Brazil,"28,68",AM,14,1116,6,40,"55,6",79%,690,72%,404,"60,0%",15
Philippe Coutinho,2017/2018 - Liverpool,UEFA Champions League,€,47.7,FC Barcelona,Brazil,"28,68",AM,5,347,2,13,"61,7",81%,238,71%,113,"16,7%",6
Philippe Coutinho,2018/2019 - Barcelona,Spanish La Liga,€,47.7,FC Barcelona,Brazil,"28,68",AM,34,2022,2,32,"61,8",88%,1388,84%,687,"15,4%",13
Philippe Coutinho,2018/2019 - Barcelona,UEFA Champions League,€,47.7,FC Barcelona,Brazil,"28,68",AM,12,860,3,17,"56,7",87%,542,81%,235,"66,7%",3
Philippe Coutinho,2019/2020 - FC Bayern München,German Bundesliga,€,47.7,FC Barcelona,Brazil,"28,68",AM,23,1412,6,30,"51,1",84%,801,79%,413,"5,6%",18
Philippe Coutinho,2019/2020 - FC Bayern München,UEFA Champions League,€,47.7,FC Barcelona,Brazil,"28,68",AM,11,516,3,14,"52,5",82%,301,77%,171,"30,0%",10
Philippe Coutinho,2020/2021 - Barcelona,Spanish La Liga,€,47.7,FC Barcelona,Brazil,"28,68",AM,8,474,2,4,"64,0",87%,337,82%,156,"33,3%",6
Philippe Coutinho,2020/2021 - Barcelona,UEFA Champions League,€,47.7,FC Barcelona,Brazil,"28,68",AM,2,135,0,3,"77,3",82%,116,73%,66,"0,0%",1
Reece James,2018/2019 - Wigan Athletic,English Football League - Championship,€,47.7,Chelsea FC,England,"21,19",RB,45,3970,3,74,"38,0",72%,1676,61%,562,"23,3%",193
Reece James,2019/2020 - Chelsea,English Premier League,€,47.7,Chelsea FC,England,"21,19",RB,24,1513,2,25,"60,4",86%,1016,82%,291,"22,0%",100
Reece James,2019/2020 - Chelsea,UEFA Champions League,€,47.7,Chelsea FC,England,"21,19",RB,6,383,0,6,"45,1",85%,192,84%,62,"31,0%",29
Reece James,2020/2021 - Chelsea,English Premier League,€,47.7,Chelsea FC,England,"21,19",RB,10,813,2,14,"63,9",89%,577,86%,125,"25,9%",58
Reece James,2020/2021 - Chelsea,UEFA Champions League,€,47.7,Chelsea FC,England,"21,19",RB,3,181,1,2,"50,2",86%,101,94%,18,"16,7%",12
Donny van de Beek,2016/2017 - Ajax,Dutch Eredivisie,€,47.5,Manchester United FC,Netherlands,"23,83",CM,19,540,2,15,"69,7",88%,418,82%,149,"25,0%",4
Donny van de Beek,2016/2017 - Ajax,UEFA Europa League,€,47.5,Manchester United FC,Netherlands,"23,83",CM,10,546,1,9,"51,1",81%,310,67%,90,"50,0%",6
Donny van de Beek,2017/2018 - Ajax,Dutch Eredivisie,€,47.5,Manchester United FC,Netherlands,"23,83",CM,33,2764,6,49,"49,3",82%,1514,74%,568,"34,8%",23
Donny van de Beek,2018/2019 - Ajax,Dutch Eredivisie,€,47.5,Manchester United FC,Netherlands,"23,83",CM,34,2441,10,42,"32,5",79%,881,73%,408,"20,0%",15
Donny van de Beek,2018/2019 - Ajax,UEFA Champions League,€,47.5,Manchester United FC,Netherlands,"23,83",CM,12,984,2,17,"30,0",77%,328,77%,131,,1
Donny van de Beek,2019/2020 - Ajax,Dutch Eredivisie,€,47.5,Manchester United FC,Netherlands,"23,83",CM,23,1916,5,41,"42,7",82%,908,74%,430,"40,0%",15
Donny van de Beek,2019/2020 - Ajax,UEFA Champions League,€,47.5,Manchester United FC,Netherlands,"23,83",CM,5,448,1,8,"31,3",79%,156,76%,49,"100,0%",1
Donny van de Beek,2019/2020 - Ajax,UEFA Europa League,€,47.5,Manchester United FC,Netherlands,"23,83",CM,2,180,1,1,"36,0",72%,72,67%,21,"0,0%",2
Donny van de Beek,2020/2021 - Manchester United,English Premier League,€,47.5,Manchester United FC,Netherlands,"23,83",CM,8,222,0,1,"53,5",86%,132,74%,54,,0
Donny van de Beek,2020/2021 - Manchester United,UEFA Champions League,€,47.5,Manchester United FC,Netherlands,"23,83",CM,6,277,0,5,"61,4",87%,189,79%,57,,0
Callum Hudson-Odoi,2017/2018 - Chelsea,English Premier League,€,47.4,Chelsea FC,England,"20,27",LW,2,27,,,"53,3",75%,16,67%,9,,2
Callum Hudson-Odoi,2017/2018 - Chelsea,UEFA Champions League,€,47.4,Chelsea FC,England,"20,27",LW,0,,,,,,,,,,
Callum Hudson-Odoi,2018/2019 - Chelsea,English Premier League,€,47.4,Chelsea FC,England,"20,27",LW,10,391,1,9,"47,6",86%,207,79%,98,"31,6%",19
Callum Hudson-Odoi,2018/2019 - Chelsea,UEFA Europa League,€,47.4,Chelsea FC,England,"20,27",LW,9,416,2,15,"48,7",89%,225,86%,106,"40,0%",10
Callum Hudson-Odoi,2019/2020 - Chelsea,English Premier League,€,47.4,Chelsea FC,England,"20,27",LW,22,850,5,20,"43,6",86%,412,86%,222,"26,4%",53
Callum Hudson-Odoi,2019/2020 - Chelsea,UEFA Champions League,€,47.4,Chelsea FC,England,"20,27",LW,5,260,1,7,"26,7",82%,77,69%,36,"50,0%",4
Callum Hudson-Odoi,2020/2021 - Chelsea,English Premier League,€,47.4,Chelsea FC,England,"20,27",LW,5,169,0,5,"49,5",88%,93,83%,48,"18,2%",11
Callum Hudson-Odoi,2020/2021 - Chelsea,UEFA Champions League,€,47.4,Chelsea FC,England,"20,27",LW,5,252,0,3,"32,5",84%,91,82%,39,"28,6%",7
Pau Torres,2017/2018 - Villarreal,Spanish La Liga,€,47.2,Villarreal CF,Spain,"24,08",CB,2,51,,,"54,7",65%,31,17%,6,,
Pau Torres,2017/2018 - Villarreal,UEFA Europa League,€,47.2,Villarreal CF,Spain,"24,08",CB,1,90,,,"103,0",96%,103,90%,10,,
Pau Torres,2018/2019 - Málaga,Spanish Segunda Division,€,47.2,Villarreal CF,Spain,"24,08",CB,40,3860,1,14,"45,8",81%,1964,46%,336,,4
Pau Torres,2019/2020 - Villarreal,Spanish La Liga,€,47.2,Villarreal CF,Spain,"24,08",CB,34,2971,1,11,"61,3",85%,2024,59%,208,,2
Pau Torres,2020/2021 - Villarreal,Spanish La Liga,€,47.2,Villarreal CF,Spain,"24,08",CB,12,1080,0,1,"66,8",88%,802,68%,106,,0
Pau Torres,2020/2021 - Villarreal,UEFA Europa League,€,47.2,Villarreal CF,Spain,"24,08",CB,1,90,0,1,"58,0",84%,58,63%,8,,0
Ferland Mendy,2017/2018 - Lyon,French Ligue 1,€,46.4,Real Madrid CF,France,"25,69",LB,27,2121,5,28,"55,2",87%,1302,76%,353,"19,0%",58
Ferland Mendy,2017/2018 - Lyon,UEFA Europa League,€,46.4,Real Madrid CF,France,"25,69",LB,7,386,,2,"62,3",86%,267,76%,71,"20,0%",15
Ferland Mendy,2018/2019 - Lyon,French Ligue 1,€,46.4,Real Madrid CF,France,"25,69",LB,30,2529,1,40,"58,4",84%,1642,75%,494,"18,8%",80
Ferland Mendy,2018/2019 - Lyon,UEFA Champions League,€,46.4,Real Madrid CF,France,"25,69",LB,8,707,1,10,"44,2",84%,347,70%,105,"25,0%",16
Ferland Mendy,2019/2020 - Real Madrid,Spanish La Liga,€,46.4,Real Madrid CF,France,"25,69",LB,25,1806,2,20,"50,3",88%,1009,83%,276,"18,2%",66
Ferland Mendy,2019/2020 - Real Madrid,UEFA Champions League,€,46.4,Real Madrid CF,France,"25,69",LB,5,408,0,4,"47,0",89%,213,80%,54,"31,3%",16
Ferland Mendy,2020/2021 - Real Madrid,Spanish La Liga,€,46.4,Real Madrid CF,France,"25,69",LB,8,599,0,5,"50,2",88%,334,81%,102,"8,3%",12
Ferland Mendy,2020/2021 - Real Madrid,UEFA Champions League,€,46.4,Real Madrid CF,France,"25,69",LB,6,540,0,3,"59,0",86%,354,77%,111,"18,2%",11
Pierre-Emile Höjbjerg,2016/2017 - Southampton,English Premier League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,22,1299,,16,"69,4",88%,1001,79%,261,"40,0%",20
Pierre-Emile Höjbjerg,2016/2017 - Southampton,UEFA Europa League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,6,412,,5,"72,5",86%,332,67%,85,,3
Pierre-Emile Höjbjerg,2017/2018 - Southampton,English Premier League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,23,1671,,13,"59,7",85%,1108,72%,250,"25,0%",12
Pierre-Emile Höjbjerg,2018/2019 - Southampton,English Premier League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,31,2764,3,28,"58,4",83%,1793,71%,539,"25,9%",27
Pierre-Emile Höjbjerg,2019/2020 - Southampton,English Premier League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,33,2750,1,30,"59,7",78%,1823,65%,534,"33,3%",27
Pierre-Emile Höjbjerg,2020/2021 - Tottenham Hotspur,English Premier League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,11,990,1,5,"72,0",89%,792,78%,128,"50,0%",2
Pierre-Emile Höjbjerg,2020/2021 - Tottenham Hotspur,UEFA Europa League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,5,271,0,0,"80,7",88%,243,81%,58,,0
Edmond Tapsoba,2018/2019 - Vitória Guimarães,Portuguese Primeira Liga,€,45.9,Bayer 04 Leverkusen,Burkina Faso,"22,04",CB,0,,,,,,,,,,
Edmond Tapsoba,2019/2020 - Bayer 04 Leverkusen,German Bundesliga,€,45.9,Bayer 04 Leverkusen,Burkina Faso,"22,04",CB,14,1057,,1,"94,6",91%,1111,61%,67,,
Edmond Tapsoba,2019/2020 - Bayer 04 Leverkusen,UEFA Europa League,€,45.9,Bayer 04 Leverkusen,Burkina Faso,"22,04",CB,5,428,0,1,"85,4",91%,406,55%,11,,0
Edmond Tapsoba,2019/2020 - Vitória Guimarães,Portuguese Primeira Liga,€,45.9,Bayer 04 Leverkusen,Burkina Faso,"22,04",CB,16,1351,2,7,"57,8",88%,868,64%,127,,
Edmond Tapsoba,2019/2020 - Vitória Guimarães,UEFA Europa League,€,45.9,Bayer 04 Leverkusen,Burkina Faso,"22,04",CB,5,450,0,2,"43,2",82%,216,55%,33,,0
Edmond Tapsoba,2020/2021 - Bayer 04 Leverkusen,German Bundesliga,€,45.9,Bayer 04 Leverkusen,Burkina Faso,"22,04",CB,8,647,0,1,"103,9",90%,747,71%,68,"0,0%",1
Edmond Tapsoba,2020/2021 - Bayer 04 Leverkusen,UEFA Europa League,€,45.9,Bayer 04 Leverkusen,Burkina Faso,"22,04",CB,3,225,0,1,"95,2",89%,238,23%,13,,0
Vinícius Júnior,2017/2018 - Flamengo,Brazilian Serie A,€,45.9,Real Madrid CF,Brazil,"20,59",LW,25,702,1,7,"22,2",71%,173,62%,102,"23,3%",30
Vinícius Júnior,2018/2019 - Flamengo,Brazilian Serie A,€,45.9,Real Madrid CF,Brazil,"20,59",LW,12,974,3,13,"26,3",81%,285,70%,141,"10,0%",30
Vinícius Júnior,2018/2019 - Real Madrid,Spanish La Liga,€,45.9,Real Madrid CF,Brazil,"20,59",LW,18,864,,15,"29,7",76%,285,71%,165,"23,8%",21
Vinícius Júnior,2018/2019 - Real Madrid,UEFA Champions League,€,45.9,Real Madrid CF,Brazil,"20,59",LW,4,234,2,5,"25,0",80%,65,71%,31,,5
Vinícius Júnior,2019/2020 - Real Madrid,Spanish La Liga,€,45.9,Real Madrid CF,Brazil,"20,59",LW,29,1354,1,22,"33,4",81%,502,75%,268,"16,7%",30
Vinícius Júnior,2019/2020 - Real Madrid,UEFA Champions League,€,45.9,Real Madrid CF,Brazil,"20,59",LW,5,193,1,5,"37,8",84%,81,76%,41,"0,0%",6
Vinícius Júnior,2020/2021 - Real Madrid,Spanish La Liga,€,45.9,Real Madrid CF,Brazil,"20,59",LW,10,606,0,11,"35,3",85%,238,78%,121,"9,1%",11
Vinícius Júnior,2020/2021 - Real Madrid,UEFA Champions League,€,45.9,Real Madrid CF,Brazil,"20,59",LW,6,226,1,5,"37,4",81%,94,78%,50,"22,2%",9
Raúl Jiménez,2016/2017 - Benfica,Portuguese Primeira Liga,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,19,773,1,4,"32,0",73%,275,67%,153,"18,8%",16
Raúl Jiménez,2016/2017 - Benfica,UEFA Champions League,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,6,156,,3,"23,1",63%,40,44%,18,,2
Raúl Jiménez,2017/2018 - Benfica,Portuguese Primeira Liga,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,33,967,6,24,"33,3",69%,358,62%,187,"14,3%",7
Raúl Jiménez,2017/2018 - Benfica,UEFA Champions League,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,5,308,,2,"31,3",67%,107,47%,51,"80,0%",5
Raúl Jiménez,2018/2019 - Wolverhampton Wanderers,English Premier League,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,38,3122,7,42,"30,5",73%,1059,66%,394,"29,6%",27
Raúl Jiménez,2019/2020 - Wolverhampton Wanderers,English Premier League,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,38,3244,6,48,"27,5",72%,991,65%,423,"17,9%",28
Raúl Jiménez,2019/2020 - Wolverhampton Wanderers,UEFA Europa League,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,9,764,3,15,"27,3",70%,232,68%,96,"14,3%",7
Raúl Jiménez,2020/2021 - Wolverhampton Wanderers,English Premier League,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,10,824,0,5,"28,3",79%,259,72%,101,"25,0%",4
Kalidou Koulibaly,2016/2017 - Napoli,Italian Serie A,€,45.1,SSC Napoli,Senegal,"29,65",CB,28,2472,,6,"71,0",89%,1949,58%,192,"25,0%",8
Kalidou Koulibaly,2016/2017 - Napoli,UEFA Champions League,€,45.1,SSC Napoli,Senegal,"29,65",CB,8,720,,1,"73,6",88%,589,51%,59,,1
Kalidou Koulibaly,2017/2018 - Napoli,Italian Serie A,€,45.1,SSC Napoli,Senegal,"29,65",CB,35,3066,1,8,"87,5",91%,2981,67%,276,,2
Kalidou Koulibaly,2017/2018 - Napoli,UEFA Champions League,€,45.1,SSC Napoli,Senegal,"29,65",CB,5,450,,2,"86,0",89%,430,59%,46,,1
Kalidou Koulibaly,2017/2018 - Napoli,UEFA Europa League,€,45.1,SSC Napoli,Senegal,"29,65",CB,1,90,,1,"77,0",83%,77,50%,6,,
Kalidou Koulibaly,2018/2019 - Napoli,Italian Serie A,€,45.1,SSC Napoli,Senegal,"29,65",CB,35,3134,2,8,"72,2",89%,2514,71%,327,,5
Kalidou Koulibaly,2018/2019 - Napoli,UEFA Champions League,€,45.1,SSC Napoli,Senegal,"29,65",CB,6,540,,1,"76,2",88%,457,63%,48,"50,0%",2
Kalidou Koulibaly,2018/2019 - Napoli,UEFA Europa League,€,45.1,SSC Napoli,Senegal,"29,65",CB,5,450,,1,"73,2",86%,366,52%,42,,
Kalidou Koulibaly,2019/2020 - Napoli,Italian Serie A,€,45.1,SSC Napoli,Senegal,"29,65",CB,25,2108,,10,"71,9",91%,1685,74%,197,"25,0%",4
Kalidou Koulibaly,2019/2020 - Napoli,UEFA Champions League,€,45.1,SSC Napoli,Senegal,"29,65",CB,7,630,0,1,"59,7",84%,418,63%,49,,0
Kalidou Koulibaly,2020/2021 - Napoli,Italian Serie A,€,45.1,SSC Napoli,Senegal,"29,65",CB,9,803,0,2,"77,8",91%,694,70%,83,"50,0%",2
Kalidou Koulibaly,2020/2021 - Napoli,UEFA Europa League,€,45.1,SSC Napoli,Senegal,"29,65",CB,6,540,0,1,"108,2",92%,649,83%,98,"0,0%",1
Jude Bellingham,2019/2020 - Birmingham City,English Football League - Championship,€,45,Borussia Dortmund,England,"17,63",CM,41,2709,2,30,"32,7",75%,985,64%,331,"10,7%",56
Jude Bellingham,2020/2021 - Borussia Dortmund,German Bundesliga,€,45,Borussia Dortmund,England,"17,63",CM,8,377,2,8,"74,7",86%,313,70%,90,"12,5%",8
Jude Bellingham,2020/2021 - Borussia Dortmund,UEFA Champions League,€,45,Borussia Dortmund,England,"17,63",CM,6,337,1,5,"64,9",87%,243,80%,89,"0,0%",2
Dani Olmo,2018/2019 - Dinamo Zagreb,UEFA Europa League,€,44.5,RB Leipzig,Spain,"22,77",AM,10,925,2,20,"32,7",71%,336,63%,176,"22,2%",18
Dani Olmo,2019/2020 - Dinamo Zagreb,UEFA Champions League,€,44.5,RB Leipzig,Spain,"22,77",AM,6,539,1,6,"25,5",73%,153,69%,80,"25,0%",4
Dani Olmo,2019/2020 - RB Leipzig,German Bundesliga,€,44.5,RB Leipzig,Spain,"22,77",AM,12,753,1,9,"40,4",75%,338,70%,150,"37,5%",8
Dani Olmo,2019/2020 - RB Leipzig,UEFA Champions League,€,44.5,RB Leipzig,Spain,"22,77",AM,2,128,0,3,"27,4",79%,39,75%,20,,0
Dani Olmo,2020/2021 - RB Leipzig,German Bundesliga,€,44.5,RB Leipzig,Spain,"22,77",AM,10,561,4,14,"43,3",77%,270,73%,132,"42,9%",7
Dani Olmo,2020/2021 - RB Leipzig,UEFA Champions League,€,44.5,RB Leipzig,Spain,"22,77",AM,6,426,0,7,"41,2",75%,195,67%,90,"50,0%",2
Alessandro Bastoni,2016/2017 - Atalanta,Italian Serie A,€,44.4,FC Internazionale Milano,Italy,"21,84",CB,3,153,,,"36,5",77%,62,50%,6,,1
Alessandro Bastoni,2017/2018 - Atalanta,Italian Serie A,€,44.4,FC Internazionale Milano,Italy,"21,84",CB,4,87,,2,"77,6",80%,75,65%,20,,
Alessandro Bastoni,2017/2018 - Atalanta,UEFA Europa League,€,44.4,FC Internazionale Milano,Italy,"21,84",CB,0,,,,,,,,,,
Alessandro Bastoni,2018/2019 - Parma,Italian Serie A,€,44.4,FC Internazionale Milano,Italy,"21,84",CB,24,1686,,1,"33,4",81%,626,54%,81,,3
Alessandro Bastoni,2019/2020 - Internazionale,Italian Serie A,€,44.4,FC Internazionale Milano,Italy,"21,84",CB,25,1922,,12,"66,1",89%,1411,77%,209,"10,0%",20
Alessandro Bastoni,2019/2020 - Internazionale,UEFA Champions League,€,44.4,FC Internazionale Milano,Italy,"21,84",CB,0,0,0,0,,,0,,0,,0
Alessandro Bastoni,2019/2020 - Internazionale,UEFA Europa League,€,44.4,FC Internazionale Milano,Italy,"21,84",CB,5,368,1,2,"54,0",83%,221,58%,31,"100,0%",2
Alessandro Bastoni,2020/2021 - Internazionale,Italian Serie A,€,44.4,FC Internazionale Milano,Italy,"21,84",CB,7,623,0,3,"74,5",92%,516,73%,88,"20,0%",5
Alessandro Bastoni,2020/2021 - Internazionale,UEFA Champions League,€,44.4,FC Internazionale Milano,Italy,"21,84",CB,6,411,1,3,"72,9",85%,333,64%,70,"25,0%",4
Wilfred Ndidi,2016/2017 - KRC Genk,Belgian Jupiler Pro League,€,44.2,Leicester City FC,Nigeria,"24,16",DM,19,1710,,17,"59,3",80%,1127,64%,276,"14,3%",7
Wilfred Ndidi,2016/2017 - KRC Genk,UEFA Europa League,€,44.2,Leicester City FC,Nigeria,"24,16",DM,6,540,,3,"57,8",79%,347,61%,79,,
Wilfred Ndidi,2016/2017 - Leicester City,English Premier League,€,44.2,Leicester City FC,Nigeria,"24,16",DM,17,1522,1,6,"40,7",76%,689,63%,145,,3
Wilfred Ndidi,2016/2017 - Leicester City,UEFA Champions League,€,44.2,Leicester City FC,Nigeria,"24,16",DM,4,360,,1,"35,0",78%,140,68%,34,,
Wilfred Ndidi,2017/2018 - Leicester City,English Premier League,€,44.2,Leicester City FC,Nigeria,"24,16",DM,33,2899,3,12,"52,3",76%,1684,61%,363,"11,1%",9
Wilfred Ndidi,2018/2019 - Leicester City,English Premier League,€,44.2,Leicester City FC,Nigeria,"24,16",DM,38,3298,,22,"54,1",80%,1984,71%,464,,12
Wilfred Ndidi,2019/2020 - Leicester City,English Premier League,€,44.2,Leicester City FC,Nigeria,"24,16",DM,32,2674,1,15,"56,2",85%,1669,80%,347,,3
Wilfred Ndidi,2020/2021 - Leicester City,English Premier League,€,44.2,Leicester City FC,Nigeria,"24,16",DM,3,201,0,1,"77,0",85%,172,89%,9,,0
Wilfred Ndidi,2020/2021 - Leicester City,UEFA Europa League,€,44.2,Leicester City FC,Nigeria,"24,16",DM,2,119,0,2,"59,7",92%,79,100%,6,,0
Jorginho,2016/2017 - Napoli,Italian Serie A,€,44,Chelsea FC,Italy,"29,15",DM,27,2148,3,38,"110,9",91%,2647,79%,700,"16,7%",12
Jorginho,2016/2017 - Napoli,UEFA Champions League,€,44,Chelsea FC,Italy,"29,15",DM,4,329,,,"91,9",91%,336,65%,43,"33,3%",3
Jorginho,2017/2018 - Napoli,Italian Serie A,€,44,Chelsea FC,Italy,"29,15",DM,33,2664,4,49,"108,0",89%,3197,78%,1000,"15,0%",20
Jorginho,2017/2018 - Napoli,UEFA Champions League,€,44,Chelsea FC,Italy,"29,15",DM,2,162,,3,"81,1",85%,146,67%,24,,
Jorginho,2017/2018 - Napoli,UEFA Europa League,€,44,Chelsea FC,Italy,"29,15",DM,1,8,,1,"146,3",92%,13,100%,3,,
Jorginho,2018/2019 - Chelsea,English Premier League,€,44,Chelsea FC,Italy,"29,15",DM,37,3165,,30,"88,7",89%,3119,81%,931,"50,0%",2
Jorginho,2018/2019 - Chelsea,UEFA Europa League,€,44,Chelsea FC,Italy,"29,15",DM,11,740,,4,"74,9",88%,616,73%,165,,
Jorginho,2019/2020 - Chelsea,English Premier League,€,44,Chelsea FC,Italy,"29,15",DM,31,2384,2,23,"85,2",88%,2257,79%,614,"10,0%",10
Jorginho,2019/2020 - Chelsea,UEFA Champions League,€,44,Chelsea FC,Italy,"29,15",DM,7,612,0,4,"66,3",91%,451,84%,112,"100,0%",1
Jorginho,2020/2021 - Chelsea,English Premier League,€,44,Chelsea FC,Italy,"29,15",DM,7,457,1,4,"66,2",86%,336,68%,63,"100,0%",1
Jorginho,2020/2021 - Chelsea,UEFA Champions League,€,44,Chelsea FC,Italy,"29,15",DM,6,491,0,4,"62,9",88%,343,77%,69,"100,0%",1
Wilfried Zaha,2016/2017 - Crystal Palace,English Premier League,€,43.8,Crystal Palace FC,Ivory Coast,"28,26",LW,35,3025,9,39,"20,7",80%,696,75%,334,"23,8%",105
Wilfried Zaha,2017/2018 - Crystal Palace,English Premier League,€,43.8,Crystal Palace FC,Ivory Coast,"28,26",LW,29,2551,3,53,"22,0",75%,623,71%,376,"18,4%",76
Wilfried Zaha,2018/2019 - Crystal Palace,English Premier League,€,43.8,Crystal Palace FC,Ivory Coast,"28,26",LW,34,3040,5,54,"29,8",77%,1006,67%,504,"29,7%",37
Wilfried Zaha,2019/2020 - Crystal Palace,English Premier League,€,43.8,Crystal Palace FC,Ivory Coast,"28,26",LW,38,3280,3,36,"30,0",81%,1094,73%,530,"27,9%",68
Wilfried Zaha,2020/2021 - Crystal Palace,English Premier League,€,43.8,Crystal Palace FC,Ivory Coast,"28,26",LW,9,801,2,13,"22,2",80%,198,71%,107,"10,0%",10
Ousmane Dembélé,2016/2017 - Borussia Dortmund,German Bundesliga,€,43.4,FC Barcelona,France,"23,75",RW,32,2040,12,64,"33,6",67%,761,59%,450,"33,9%",56
Ousmane Dembélé,2016/2017 - Borussia Dortmund,UEFA Champions League,€,43.4,FC Barcelona,France,"23,75",RW,10,769,6,21,"35,8",74%,306,71%,166,"23,1%",26
Ousmane Dembélé,2017/2018 - Barcelona,Spanish La Liga,€,43.4,FC Barcelona,France,"23,75",RW,17,930,6,28,"43,5",82%,449,72%,237,"26,9%",26
Ousmane Dembélé,2017/2018 - Barcelona,UEFA Champions League,€,43.4,FC Barcelona,France,"23,75",RW,3,143,,,"35,2",75%,56,62%,26,,
Ousmane Dembélé,2018/2019 - Barcelona,Spanish La Liga,€,43.4,FC Barcelona,France,"23,75",RW,29,1671,5,45,"49,0",81%,910,73%,494,"28,1%",57
